time,source_user,destination_user,source_computer,destination_computer,authentication_type,logon_type,authentication_orientation,success_failure,is_attack,is_failed_login,logins_per_hour,unique_destination_computers,destination_fanin,is_privileged_target,source_user_encoded,destination_computer_encoded,logon_type_encoded,authentication_type_encoded,authentication_orientation_encoded,siem_flagged_final,if_score,if_prediction,shap_value,technique_id,technique_name,tactic,confidence,action
1053679,C1015$@DOM1,C1015$@DOM1,C1015,C1065,?,?,TGS,Success,0,0,1,7,2338,0,162,128,0,0,5,0,-0.0134292955308946,-1,-0.09104655296847483,T1078,Valid Accounts,Defense Evasion,MEDIUM-LOW,"Elevated lateral movement (above baseline). Batch review recommended, not urgent."
1053701,C1015$@DOM1,C1015$@DOM1,C1015,C625,Kerberos,Network,LogOn,Success,0,0,2,7,2464,0,162,2751,4,1,2,0,-0.0134292955308946,-1,-0.09104655296847483,T1078,Valid Accounts,Defense Evasion,MEDIUM-LOW,"Elevated lateral movement (above baseline). Batch review recommended, not urgent."
1054788,C1015$@DOM1,C1015$@DOM1,C1015,C1015,?,?,TGS,Success,0,0,3,7,119,0,162,23,0,0,5,0,-0.0134292955308946,-1,-0.09104655296847483,T1078,Valid Accounts,Defense Evasion,MEDIUM-LOW,"Elevated lateral movement (above baseline). Batch review recommended, not urgent."
1060279,C1015$@DOM1,C1015$@DOM1,C1015,C4905,?,?,TGS,Success,0,0,1,7,2,0,162,2505,0,0,5,0,-0.0134292955308946,-1,-0.09104655296847483,T1078,Valid Accounts,Defense Evasion,MEDIUM-LOW,"Elevated lateral movement (above baseline). Batch review recommended, not urgent."
1060905,C1015$@DOM1,C1015$@DOM1,C1065,C1065,?,Network,LogOff,Success,0,0,2,7,2338,0,162,128,4,0,1,0,-0.0134292955308946,-1,-0.09104655296847483,T1078,Valid Accounts,Defense Evasion,MEDIUM-LOW,"Elevated lateral movement (above baseline). Batch review recommended, not urgent."
1062991,C1015$@DOM1,C1015$@DOM1,C4905,C4905,MICROSOFT_AUTHENTICATION_PACKAGE_V1_0,Network,LogOn,Fail,0,1,3,7,2,0,162,2505,4,5,2,0,-0.0134292955308946,-1,-0.09104655296847483,T1078,Valid Accounts,Defense Evasion,MEDIUM-LOW,"Elevated lateral movement (above baseline). Batch review recommended, not urgent."
1065786,C1015$@DOM1,C1015$@DOM1,C5547,C5547,MICROSOFT_AUTHENTICATION_PACKAGE_V1_0,Network,LogOn,Fail,0,1,2,7,1,0,162,2619,4,5,2,0,-0.0134292955308946,-1,-0.09104655296847483,T1078,Valid Accounts,Defense Evasion,MEDIUM-LOW,"Elevated lateral movement (above baseline). Batch review recommended, not urgent."
1066917,C1015$@DOM1,C1015$@DOM1,C13966,C13966,MICROSOFT_AUTHENTICATION_PACKAGE_V1_0,Network,LogOn,Fail,0,1,2,7,2,0,162,684,4,5,2,0,-0.0134292955308946,-1,-0.09104655296847483,T1078,Valid Accounts,Defense Evasion,MEDIUM-LOW,"Elevated lateral movement (above baseline). Batch review recommended, not urgent."
1067795,C1015$@DOM1,C1015$@DOM1,C7711,C7711,MICROSOFT_AUTHENTICATION_PACKAGE_V1_0,Network,LogOn,Fail,0,1,3,7,2,0,162,3042,4,5,2,0,-0.0134292955308946,-1,-0.09104655296847483,T1078,Valid Accounts,Defense Evasion,MEDIUM-LOW,"Elevated lateral movement (above baseline). Batch review recommended, not urgent."
1037098,C1065$@DOM1,C1065$@DOM1,C1521,C1065,Kerberos,Network,LogOn,Success,0,0,1,7,2338,0,414,128,4,1,2,0,-0.0134292955308946,-1,-0.09104655296847483,T1078,Valid Accounts,Defense Evasion,MEDIUM-LOW,"Elevated lateral movement (above baseline). Batch review recommended, not urgent."
1038358,C1065$@DOM1,C1065$@DOM1,C1065,C1065,?,Network,LogOff,Success,0,0,2,7,2338,0,414,128,4,0,1,0,-0.0134292955308946,-1,-0.09104655296847483,T1078,Valid Accounts,Defense Evasion,MEDIUM-LOW,"Elevated lateral movement (above baseline). Batch review recommended, not urgent."
1038369,C1065$@DOM1,C1065$@DOM1,C1065,C1065,Kerberos,Network,LogOn,Success,0,0,3,7,2338,0,414,128,4,1,2,0,-0.0134292955308946,-1,-0.09104655296847483,T1078,Valid Accounts,Defense Evasion,MEDIUM-LOW,"Elevated lateral movement (above baseline). Batch review recommended, not urgent."
1038473,C1065$@DOM1,C1065$@DOM1,C586,C586,?,Network,LogOff,Success,0,0,4,7,3441,1,414,2676,4,0,1,0,-0.0134292955308946,-1,-0.09104655296847483,T1078,Valid Accounts,Defense Evasion,MEDIUM-LOW,"Elevated lateral movement (above baseline). Batch review recommended, not urgent."
1038483,C1065$@DOM1,C1065$@DOM1,C586,C586,?,Network,LogOff,Success,0,0,5,7,3441,1,414,2676,4,0,1,0,-0.0134292955308946,-1,-0.09104655296847483,T1078,Valid Accounts,Defense Evasion,MEDIUM-LOW,"Elevated lateral movement (above baseline). Batch review recommended, not urgent."
1038691,C1065$@DOM1,C1065$@DOM1,C1065,C1065,?,Network,LogOff,Success,0,0,6,7,2338,0,414,128,4,0,1,0,-0.0134292955308946,-1,-0.09104655296847483,T1078,Valid Accounts,Defense Evasion,MEDIUM-LOW,"Elevated lateral movement (above baseline). Batch review recommended, not urgent."
1038718,C1065$@DOM1,C1065$@DOM1,C1521,C1065,Kerberos,Network,LogOn,Success,0,0,7,7,2338,0,414,128,4,1,2,0,-0.0134292955308946,-1,-0.09104655296847483,T1078,Valid Accounts,Defense Evasion,MEDIUM-LOW,"Elevated lateral movement (above baseline). Batch review recommended, not urgent."
1038831,C1065$@DOM1,C1065$@DOM1,C1065,C1065,?,Network,LogOff,Success,0,0,8,7,2338,0,414,128,4,0,1,0,-0.0134292955308946,-1,-0.09104655296847483,T1078,Valid Accounts,Defense Evasion,MEDIUM-LOW,"Elevated lateral movement (above baseline). Batch review recommended, not urgent."
1039258,C1065$@DOM1,C1065$@DOM1,C1521,C1065,Kerberos,Network,LogOn,Success,0,0,9,7,2338,0,414,128,4,1,2,0,-0.0134292955308946,-1,-0.09104655296847483,T1078,Valid Accounts,Defense Evasion,MEDIUM-LOW,"Elevated lateral movement (above baseline). Batch review recommended, not urgent."
1039262,C1065$@DOM1,C1065$@DOM1,C1065,C1065,Kerberos,Network,LogOn,Success,0,0,10,7,2338,0,414,128,4,1,2,0,-0.0134292955308946,-1,-0.09104655296847483,T1078,Valid Accounts,Defense Evasion,MEDIUM-LOW,"Elevated lateral movement (above baseline). Batch review recommended, not urgent."
1039307,C1065$@DOM1,C1065$@DOM1,C586,C586,?,Network,LogOff,Success,0,0,11,7,3441,1,414,2676,4,0,1,0,-0.0134292955308946,-1,-0.09104655296847483,T1078,Valid Accounts,Defense Evasion,MEDIUM-LOW,"Elevated lateral movement (above baseline). Batch review recommended, not urgent."
1039386,C1065$@DOM1,C1065$@DOM1,C1065,C1065,?,Network,LogOff,Success,0,0,12,7,2338,0,414,128,4,0,1,0,-0.0134292955308946,-1,-0.09104655296847483,T1078,Valid Accounts,Defense Evasion,MEDIUM-LOW,"Elevated lateral movement (above baseline). Batch review recommended, not urgent."
1039620,C1065$@DOM1,C1065$@DOM1,C1065,C586,Kerberos,Network,LogOn,Success,0,0,13,7,3441,1,414,2676,4,1,2,0,-0.0134292955308946,-1,-0.09104655296847483,T1078,Valid Accounts,Defense Evasion,MEDIUM-LOW,"Elevated lateral movement (above baseline). Batch review recommended, not urgent."
1039907,C1065$@DOM1,C1065$@DOM1,C1065,C586,Kerberos,Network,LogOn,Success,0,0,14,7,3441,1,414,2676,4,1,2,0,-0.0134292955308946,-1,-0.09104655296847483,T1078,Valid Accounts,Defense Evasion,MEDIUM-LOW,"Elevated lateral movement (above baseline). Batch review recommended, not urgent."
1040815,C1065$@DOM1,C1065$@DOM1,C1065,C1065,Kerberos,Network,LogOn,Success,0,0,14,7,2338,0,414,128,4,1,2,0,-0.0134292955308946,-1,-0.09104655296847483,T1078,Valid Accounts,Defense Evasion,MEDIUM-LOW,"Elevated lateral movement (above baseline). Batch review recommended, not urgent."
1041751,C1065$@DOM1,C1065$@DOM1,C1065,C1065,?,Network,LogOff,Success,0,0,15,7,2338,0,414,128,4,0,1,0,-0.0134292955308946,-1,-0.09104655296847483,T1078,Valid Accounts,Defense Evasion,MEDIUM-LOW,"Elevated lateral movement (above baseline). Batch review recommended, not urgent."
1041816,C1065$@DOM1,C1065$@DOM1,C1065,C1065,Kerberos,Network,LogOn,Success,0,0,16,7,2338,0,414,128,4,1,2,0,-0.0134292955308946,-1,-0.09104655296847483,T1078,Valid Accounts,Defense Evasion,MEDIUM-LOW,"Elevated lateral movement (above baseline). Batch review recommended, not urgent."
1041959,C1065$@DOM1,C1065$@DOM1,C1521,C1065,Kerberos,Network,LogOn,Success,0,0,16,7,2338,0,414,128,4,1,2,0,-0.0134292955308946,-1,-0.09104655296847483,T1078,Valid Accounts,Defense Evasion,MEDIUM-LOW,"Elevated lateral movement (above baseline). Batch review recommended, not urgent."
1042354,C1065$@DOM1,C1065$@DOM1,C1798,C1065,Kerberos,Network,LogOn,Success,0,0,12,7,2338,0,414,128,4,1,2,0,-0.0134292955308946,-1,-0.09104655296847483,T1078,Valid Accounts,Defense Evasion,MEDIUM-LOW,"Elevated lateral movement (above baseline). Batch review recommended, not urgent."
1042390,C1065$@DOM1,C1065$@DOM1,C1065,C1065,Kerberos,Network,LogOn,Success,0,0,13,7,2338,0,414,128,4,1,2,0,-0.0134292955308946,-1,-0.09104655296847483,T1078,Valid Accounts,Defense Evasion,MEDIUM-LOW,"Elevated lateral movement (above baseline). Batch review recommended, not urgent."
1042844,C1065$@DOM1,C1065$@DOM1,C1065,C1065,?,Network,LogOff,Success,0,0,13,7,2338,0,414,128,4,0,1,0,-0.0134292955308946,-1,-0.09104655296847483,T1078,Valid Accounts,Defense Evasion,MEDIUM-LOW,"Elevated lateral movement (above baseline). Batch review recommended, not urgent."
1043012,C1065$@DOM1,C1065$@DOM1,C1065,C586,Kerberos,Network,LogOn,Success,0,0,10,7,3441,1,414,2676,4,1,2,0,-0.0134292955308946,-1,-0.09104655296847483,T1078,Valid Accounts,Defense Evasion,MEDIUM-LOW,"Elevated lateral movement (above baseline). Batch review recommended, not urgent."
1043160,C1065$@DOM1,C1065$@DOM1,C1065,C1065,?,Network,LogOff,Success,0,0,11,7,2338,0,414,128,4,0,1,0,-0.0134292955308946,-1,-0.09104655296847483,T1078,Valid Accounts,Defense Evasion,MEDIUM-LOW,"Elevated lateral movement (above baseline). Batch review recommended, not urgent."
1043247,C1065$@DOM1,C1065$@DOM1,C1065,C1065,Kerberos,Network,LogOn,Success,0,0,11,7,2338,0,414,128,4,1,2,0,-0.0134292955308946,-1,-0.09104655296847483,T1078,Valid Accounts,Defense Evasion,MEDIUM-LOW,"Elevated lateral movement (above baseline). Batch review recommended, not urgent."
1043339,C1065$@DOM1,C1065$@DOM1,C1521,C1065,Kerberos,Network,LogOn,Success,0,0,12,7,2338,0,414,128,4,1,2,0,-0.0134292955308946,-1,-0.09104655296847483,T1078,Valid Accounts,Defense Evasion,MEDIUM-LOW,"Elevated lateral movement (above baseline). Batch review recommended, not urgent."
1043666,C1065$@DOM1,C1065$@DOM1,C1065,C586,Kerberos,Network,LogOn,Success,0,0,12,7,3441,1,414,2676,4,1,2,0,-0.0134292955308946,-1,-0.09104655296847483,T1078,Valid Accounts,Defense Evasion,MEDIUM-LOW,"Elevated lateral movement (above baseline). Batch review recommended, not urgent."
1043990,C1065$@DOM1,C1065$@DOM1,C1065,C586,Kerberos,Network,LogOn,Success,0,0,13,7,3441,1,414,2676,4,1,2,0,-0.0134292955308946,-1,-0.09104655296847483,T1078,Valid Accounts,Defense Evasion,MEDIUM-LOW,"Elevated lateral movement (above baseline). Batch review recommended, not urgent."
1044212,C1065$@DOM1,C1065$@DOM1,C1065,C2106,Kerberos,Network,LogOn,Success,0,0,14,7,1402,0,414,1714,4,1,2,0,-0.0134292955308946,-1,-0.09104655296847483,T1078,Valid Accounts,Defense Evasion,MEDIUM-LOW,"Elevated lateral movement (above baseline). Batch review recommended, not urgent."
1044391,C1065$@DOM1,C1065$@DOM1,C529,C529,?,Network,LogOff,Success,0,0,15,7,2599,0,414,2574,4,0,1,0,-0.0134292955308946,-1,-0.09104655296847483,T1078,Valid Accounts,Defense Evasion,MEDIUM-LOW,"Elevated lateral movement (above baseline). Batch review recommended, not urgent."
1044595,C1065$@DOM1,C1065$@DOM1,C586,C586,?,Network,LogOff,Success,0,0,15,7,3441,1,414,2676,4,0,1,0,-0.0134292955308946,-1,-0.09104655296847483,T1078,Valid Accounts,Defense Evasion,MEDIUM-LOW,"Elevated lateral movement (above baseline). Batch review recommended, not urgent."
1044762,C1065$@DOM1,C1065$@DOM1,C1065,C1065,?,Network,LogOff,Success,0,0,16,7,2338,0,414,128,4,0,1,0,-0.0134292955308946,-1,-0.09104655296847483,T1078,Valid Accounts,Defense Evasion,MEDIUM-LOW,"Elevated lateral movement (above baseline). Batch review recommended, not urgent."
1045075,C1065$@DOM1,C1065$@DOM1,C1065,C625,Kerberos,Network,LogOn,Success,0,0,17,7,2464,0,414,2751,4,1,2,0,-0.0134292955308946,-1,-0.09104655296847483,T1078,Valid Accounts,Defense Evasion,MEDIUM-LOW,"Elevated lateral movement (above baseline). Batch review recommended, not urgent."
1045396,C1065$@DOM1,C1065$@DOM1,C625,C625,?,Network,LogOff,Success,0,0,17,7,2464,0,414,2751,4,0,1,0,-0.0134292955308946,-1,-0.09104655296847483,T1078,Valid Accounts,Defense Evasion,MEDIUM-LOW,"Elevated lateral movement (above baseline). Batch review recommended, not urgent."
1045652,C1065$@DOM1,C1065$@DOM1,C1065,C1065,?,Network,LogOff,Success,0,0,16,7,2338,0,414,128,4,0,1,0,-0.0134292955308946,-1,-0.09104655296847483,T1078,Valid Accounts,Defense Evasion,MEDIUM-LOW,"Elevated lateral movement (above baseline). Batch review recommended, not urgent."
1045680,C1065$@DOM1,C1065$@DOM1,C1521,C1065,Kerberos,Network,LogOn,Success,0,0,17,7,2338,0,414,128,4,1,2,0,-0.0134292955308946,-1,-0.09104655296847483,T1078,Valid Accounts,Defense Evasion,MEDIUM-LOW,"Elevated lateral movement (above baseline). Batch review recommended, not urgent."
1046151,C1065$@DOM1,C1065$@DOM1,C1065,C1065,Kerberos,Network,LogOn,Success,0,0,16,7,2338,0,414,128,4,1,2,0,-0.0134292955308946,-1,-0.09104655296847483,T1078,Valid Accounts,Defense Evasion,MEDIUM-LOW,"Elevated lateral movement (above baseline). Batch review recommended, not urgent."
1046161,C1065$@DOM1,C1065$@DOM1,C1065,C1065,Kerberos,Network,LogOn,Success,0,0,17,7,2338,0,414,128,4,1,2,0,-0.0134292955308946,-1,-0.09104655296847483,T1078,Valid Accounts,Defense Evasion,MEDIUM-LOW,"Elevated lateral movement (above baseline). Batch review recommended, not urgent."
1046187,C1065$@DOM1,C1065$@DOM1,C1065,C1065,?,Network,LogOff,Success,0,0,18,7,2338,0,414,128,4,0,1,0,-0.0134292955308946,-1,-0.09104655296847483,T1078,Valid Accounts,Defense Evasion,MEDIUM-LOW,"Elevated lateral movement (above baseline). Batch review recommended, not urgent."
1046206,C1065$@DOM1,C1065$@DOM1,C1065,C1065,?,Network,LogOff,Success,0,0,19,7,2338,0,414,128,4,0,1,0,-0.0134292955308946,-1,-0.09104655296847483,T1078,Valid Accounts,Defense Evasion,MEDIUM-LOW,"Elevated lateral movement (above baseline). Batch review recommended, not urgent."
1046315,C1065$@DOM1,C1065$@DOM1,C625,C625,?,Network,LogOff,Success,0,0,20,7,2464,0,414,2751,4,0,1,0,-0.0134292955308946,-1,-0.09104655296847483,T1078,Valid Accounts,Defense Evasion,MEDIUM-LOW,"Elevated lateral movement (above baseline). Batch review recommended, not urgent."
1046319,C1065$@DOM1,C1065$@DOM1,C1065,C1065,?,Network,LogOff,Success,0,0,21,7,2338,0,414,128,4,0,1,0,-0.0134292955308946,-1,-0.09104655296847483,T1078,Valid Accounts,Defense Evasion,MEDIUM-LOW,"Elevated lateral movement (above baseline). Batch review recommended, not urgent."
1046787,C1065$@DOM1,C1065$@DOM1,C586,C586,?,Network,LogOff,Success,0,0,19,7,3441,1,414,2676,4,0,1,0,-0.0134292955308946,-1,-0.09104655296847483,T1078,Valid Accounts,Defense Evasion,MEDIUM-LOW,"Elevated lateral movement (above baseline). Batch review recommended, not urgent."
1047134,C1065$@DOM1,C1065$@DOM1,C1065,C625,Kerberos,Network,LogOn,Success,0,0,18,7,2464,0,414,2751,4,1,2,0,-0.0134292955308946,-1,-0.09104655296847483,T1078,Valid Accounts,Defense Evasion,MEDIUM-LOW,"Elevated lateral movement (above baseline). Batch review recommended, not urgent."
1047395,C1065$@DOM1,C1065$@DOM1,C1065,C1065,Kerberos,Network,LogOn,Success,0,0,18,7,2338,0,414,128,4,1,2,0,-0.0134292955308946,-1,-0.09104655296847483,T1078,Valid Accounts,Defense Evasion,MEDIUM-LOW,"Elevated lateral movement (above baseline). Batch review recommended, not urgent."
1047455,C1065$@DOM1,C1065$@DOM1,C1065,C1065,Kerberos,Network,LogOn,Success,0,0,19,7,2338,0,414,128,4,1,2,0,-0.0134292955308946,-1,-0.09104655296847483,T1078,Valid Accounts,Defense Evasion,MEDIUM-LOW,"Elevated lateral movement (above baseline). Batch review recommended, not urgent."
1047480,C1065$@DOM1,C1065$@DOM1,C1065,C1065,Kerberos,Network,LogOn,Success,0,0,20,7,2338,0,414,128,4,1,2,0,-0.0134292955308946,-1,-0.09104655296847483,T1078,Valid Accounts,Defense Evasion,MEDIUM-LOW,"Elevated lateral movement (above baseline). Batch review recommended, not urgent."
1047517,C1065$@DOM1,C1065$@DOM1,C1065,C1065,Kerberos,Network,LogOn,Success,0,0,21,7,2338,0,414,128,4,1,2,0,-0.0134292955308946,-1,-0.09104655296847483,T1078,Valid Accounts,Defense Evasion,MEDIUM-LOW,"Elevated lateral movement (above baseline). Batch review recommended, not urgent."
1047601,C1065$@DOM1,C1065$@DOM1,C1065,C1065,Kerberos,Network,LogOn,Success,0,0,21,7,2338,0,414,128,4,1,2,0,-0.0134292955308946,-1,-0.09104655296847483,T1078,Valid Accounts,Defense Evasion,MEDIUM-LOW,"Elevated lateral movement (above baseline). Batch review recommended, not urgent."
1047781,C1065$@DOM1,C1065$@DOM1,C1521,C1065,Kerberos,Network,LogOn,Success,0,0,22,7,2338,0,414,128,4,1,2,0,-0.0134292955308946,-1,-0.09104655296847483,T1078,Valid Accounts,Defense Evasion,MEDIUM-LOW,"Elevated lateral movement (above baseline). Batch review recommended, not urgent."
1048195,C1065$@DOM1,C1065$@DOM1,C586,C586,?,Network,LogOff,Success,0,0,21,7,3441,1,414,2676,4,0,1,0,-0.0134292955308946,-1,-0.09104655296847483,T1078,Valid Accounts,Defense Evasion,MEDIUM-LOW,"Elevated lateral movement (above baseline). Batch review recommended, not urgent."
1048205,C1065$@DOM1,C1065$@DOM1,C1065,C586,Kerberos,Network,LogOn,Success,0,0,21,7,3441,1,414,2676,4,1,2,0,-0.0134292955308946,-1,-0.09104655296847483,T1078,Valid Accounts,Defense Evasion,MEDIUM-LOW,"Elevated lateral movement (above baseline). Batch review recommended, not urgent."
1048226,C1065$@DOM1,C1065$@DOM1,C586,C586,?,Network,LogOff,Success,0,0,22,7,3441,1,414,2676,4,0,1,0,-0.0134292955308946,-1,-0.09104655296847483,T1078,Valid Accounts,Defense Evasion,MEDIUM-LOW,"Elevated lateral movement (above baseline). Batch review recommended, not urgent."
1048437,C1065$@DOM1,C1065$@DOM1,C625,C625,?,Network,LogOff,Success,0,0,22,7,2464,0,414,2751,4,0,1,0,-0.0134292955308946,-1,-0.09104655296847483,T1078,Valid Accounts,Defense Evasion,MEDIUM-LOW,"Elevated lateral movement (above baseline). Batch review recommended, not urgent."
1048687,C1065$@DOM1,C1065$@DOM1,C1065,C1065,?,Network,LogOff,Success,0,0,22,7,2338,0,414,128,4,0,1,0,-0.0134292955308946,-1,-0.09104655296847483,T1078,Valid Accounts,Defense Evasion,MEDIUM-LOW,"Elevated lateral movement (above baseline). Batch review recommended, not urgent."
1050344,C1065$@DOM1,C1065$@DOM1,C1065,C1065,?,Network,LogOff,Success,0,0,14,7,2338,0,414,128,4,0,1,0,-0.0134292955308946,-1,-0.09104655296847483,T1078,Valid Accounts,Defense Evasion,MEDIUM-LOW,"Elevated lateral movement (above baseline). Batch review recommended, not urgent."
1050357,C1065$@DOM1,C1065$@DOM1,C1065,C1065,?,Network,LogOff,Success,0,0,15,7,2338,0,414,128,4,0,1,0,-0.0134292955308946,-1,-0.09104655296847483,T1078,Valid Accounts,Defense Evasion,MEDIUM-LOW,"Elevated lateral movement (above baseline). Batch review recommended, not urgent."
1050359,C1065$@DOM1,C1065$@DOM1,C1065,C1065,?,Network,LogOff,Success,0,0,16,7,2338,0,414,128,4,0,1,0,-0.0134292955308946,-1,-0.09104655296847483,T1078,Valid Accounts,Defense Evasion,MEDIUM-LOW,"Elevated lateral movement (above baseline). Batch review recommended, not urgent."
1050389,C1065$@DOM1,C1065$@DOM1,C1065,C1065,Kerberos,Network,LogOn,Success,0,0,16,7,2338,0,414,128,4,1,2,0,-0.0134292955308946,-1,-0.09104655296847483,T1078,Valid Accounts,Defense Evasion,MEDIUM-LOW,"Elevated lateral movement (above baseline). Batch review recommended, not urgent."
1051178,C1065$@DOM1,C1065$@DOM1,C1065,C625,Kerberos,Network,LogOn,Success,0,0,12,7,2464,0,414,2751,4,1,2,0,-0.0134292955308946,-1,-0.09104655296847483,T1078,Valid Accounts,Defense Evasion,MEDIUM-LOW,"Elevated lateral movement (above baseline). Batch review recommended, not urgent."
1051296,C1065$@DOM1,C1065$@DOM1,C1065,C1065,?,Network,LogOff,Success,0,0,12,7,2338,0,414,128,4,0,1,0,-0.0134292955308946,-1,-0.09104655296847483,T1078,Valid Accounts,Defense Evasion,MEDIUM-LOW,"Elevated lateral movement (above baseline). Batch review recommended, not urgent."
1051313,C1065$@DOM1,C1065$@DOM1,C1065,C1065,?,Network,LogOff,Success,0,0,13,7,2338,0,414,128,4,0,1,0,-0.0134292955308946,-1,-0.09104655296847483,T1078,Valid Accounts,Defense Evasion,MEDIUM-LOW,"Elevated lateral movement (above baseline). Batch review recommended, not urgent."
1051328,C1065$@DOM1,C1065$@DOM1,C1065,C1065,?,Network,LogOff,Success,0,0,14,7,2338,0,414,128,4,0,1,0,-0.0134292955308946,-1,-0.09104655296847483,T1078,Valid Accounts,Defense Evasion,MEDIUM-LOW,"Elevated lateral movement (above baseline). Batch review recommended, not urgent."
1051342,C1065$@DOM1,C1065$@DOM1,C1065,C1065,?,Network,LogOff,Success,0,0,15,7,2338,0,414,128,4,0,1,0,-0.0134292955308946,-1,-0.09104655296847483,T1078,Valid Accounts,Defense Evasion,MEDIUM-LOW,"Elevated lateral movement (above baseline). Batch review recommended, not urgent."
1051537,C1065$@DOM1,C1065$@DOM1,C1065,C529,Kerberos,Network,LogOn,Success,0,0,15,7,2599,0,414,2574,4,1,2,0,-0.0134292955308946,-1,-0.09104655296847483,T1078,Valid Accounts,Defense Evasion,MEDIUM-LOW,"Elevated lateral movement (above baseline). Batch review recommended, not urgent."
1051644,C1065$@DOM1,C1065$@DOM1,C586,C586,?,Network,LogOff,Success,0,0,16,7,3441,1,414,2676,4,0,1,0,-0.0134292955308946,-1,-0.09104655296847483,T1078,Valid Accounts,Defense Evasion,MEDIUM-LOW,"Elevated lateral movement (above baseline). Batch review recommended, not urgent."
1051776,C1065$@DOM1,C1065$@DOM1,C1065,C1065,?,Network,LogOff,Success,0,0,17,7,2338,0,414,128,4,0,1,0,-0.0134292955308946,-1,-0.09104655296847483,T1078,Valid Accounts,Defense Evasion,MEDIUM-LOW,"Elevated lateral movement (above baseline). Batch review recommended, not urgent."
1052295,C1065$@DOM1,C1065$@DOM1,C1065,C586,Kerberos,Network,LogOn,Success,0,0,13,7,3441,1,414,2676,4,1,2,0,-0.0134292955308946,-1,-0.09104655296847483,T1078,Valid Accounts,Defense Evasion,MEDIUM-LOW,"Elevated lateral movement (above baseline). Batch review recommended, not urgent."
