source_user,day,total_logons,failed_logons,successful_logons,failure_rate,success_rate,unique_destinations,unique_source_computers,unique_logon_types,batch_or_rdp_logons,network_logons,unique_auth_types,kerberos_logons,ntlm_logons,active_hours,is_attack,if_score,if_prediction
C1737$@DOM1,12,39,0,39,0.0,1.0,13,11,3,0,34,3,15,0,8.138055555555555,0,-0.011578042409826739,-1
C1766$@DOM1,12,259,0,259,0.0,1.0,17,14,2,0,252,2,144,0,8.6425,0,-0.08237104873186207,-1
C1794$@DOM1,12,247,0,247,0.0,1.0,16,16,2,0,236,2,106,0,8.626388888888888,0,-0.08049248730218217,-1
C1931$@DOM1,12,106,0,106,0.0,1.0,15,10,2,0,96,2,44,0,8.304722222222223,0,-0.04954548216325527,-1
C2092$@DOM1,12,82,0,82,0.0,1.0,13,9,2,0,68,2,34,0,8.216666666666667,0,-0.027543266100880537,-1
C2653$@DOM1,12,11,11,0,1.0,0.0,5,1,2,0,9,2,0,9,6.530833333333334,0,-0.006654842492306523,-1
C3131$@DOM1,12,11,10,1,0.9090909090909092,0.0909090909090909,3,1,3,0,4,3,0,4,7.384444444444444,0,-0.02241025511535044,-1
C395$@DOM1,12,81,0,81,0.0,1.0,9,8,2,0,78,2,33,0,8.46888888888889,0,-0.016424162233519612,-1
C457$@DOM1,12,125,1,124,0.008,0.992,6,9,1,0,125,4,61,0,8.593055555555555,0,-0.07140355650603658,-1
C467$@DOM1,12,109,0,109,0.0,1.0,5,9,2,0,107,4,51,0,8.261944444444444,0,-0.04193805723160959,-1
C480$@DOM1,12,251,0,251,0.0,1.0,5,5,1,0,251,2,124,0,8.654722222222222,0,-0.03727428890285178,-1
C523$@DOM1,12,118,0,118,0.0,1.0,17,12,2,0,94,3,51,1,8.588611111111112,0,-0.06720086419459637,-1
C528$@DOM1,12,73,0,73,0.0,1.0,4,7,1,0,73,3,45,0,8.665277777777778,0,-0.00046636685102940945,-1
C529$@DOM1,12,103,0,103,0.0,1.0,4,7,2,0,101,2,48,0,8.492777777777778,0,-0.008380598840434295,-1
C538$@DOM1,12,375,0,375,0.0,1.0,19,15,2,0,364,2,183,0,8.655277777777778,0,-0.08479288783878225,-1
C553$@DOM1,12,113,0,113,0.0,1.0,14,10,3,0,105,4,50,2,8.606111111111112,0,-0.08689579026317085,-1
C567$@DOM1,12,381,0,381,0.0,1.0,19,18,2,0,376,2,182,0,8.629166666666666,0,-0.08560180751065238,-1
C585$@DOM1,12,407,0,407,0.0,1.0,7,6,2,0,405,2,197,0,8.530555555555555,0,-0.048527724457239074,-1
C586$@DOM1,12,135,1,134,0.0074074074074074,0.9925925925925926,6,12,1,0,135,3,62,0,8.390277777777778,0,-0.06955673258115724,-1
C599$@DOM1,12,414,0,414,0.0,1.0,16,15,2,0,359,2,184,0,8.662777777777778,0,-0.08425406396422286,-1
C612$@DOM1,12,109,0,109,0.0,1.0,6,9,1,0,109,3,48,0,8.600555555555555,0,-0.030396039982203193,-1
C625$@DOM1,12,83,0,83,0.0,1.0,5,8,1,0,83,2,50,0,8.483611111111111,0,-0.007639707596388323,-1
C743$@DOM1,12,411,0,411,0.0,1.0,4,5,1,0,411,2,208,0,8.578333333333333,0,-0.0369013484106856,-1
C988$@DOM1,12,103,1,102,0.0097087378640776,0.9902912621359224,19,10,3,0,76,4,36,1,8.435,0,-0.0877068452108849,-1
U10107@DOM1,12,121,0,121,0.0,1.0,1,1,1,0,121,2,66,0,8.654444444444444,0,-0.010237556416860638,-1
U1025@DOM1,12,61,0,61,0.0,1.0,17,16,3,0,39,3,17,0,23.223333333333333,1,-0.0518363880554199,-1
U1025@DOM1,13,86,0,86,0.0,1.0,22,18,4,1,53,4,26,1,23.20583333333333,1,-0.09175789332650319,-1
U1025@DOM1,14,53,0,53,0.0,1.0,12,10,3,0,32,4,7,4,21.566666666666663,1,-0.05051671137702951,-1
U1106@DOM1,12,61,0,61,0.0,1.0,14,9,3,0,38,2,19,0,22.33944444444445,1,-0.030227407132438544,-1
U1106@DOM1,13,79,0,79,0.0,1.0,19,11,3,0,48,2,24,0,22.641666666666666,1,-0.05120640524678843,-1
U1106@DOM1,14,60,0,60,0.0,1.0,15,11,3,0,31,2,8,0,23.006666666666668,1,-0.021537954968244954,-1
U1133@DOM1,12,92,2,90,0.0217391304347826,0.9782608695652174,16,12,2,0,68,2,0,34,6.176944444444445,1,-0.07625321496465476,-1
U1133@DOM1,13,53,0,53,0.0,1.0,9,6,2,0,43,2,0,21,14.336666666666666,1,-0.006969630953398642,-1
U1145@DOM1,12,74,0,74,0.0,1.0,14,10,3,0,52,2,26,0,22.164166666666667,1,-0.05069029784102963,-1
U1145@DOM1,13,63,0,63,0.0,1.0,18,13,3,0,46,2,22,0,18.15055555555556,1,-0.04037388210277826,-1
U1145@DOM1,14,63,0,63,0.0,1.0,16,13,2,0,47,2,20,0,23.200277777777774,1,-0.02965384547656591,-1
U114@DOM1,12,92,0,92,0.0,1.0,18,13,3,0,58,3,7,15,23.38055555555556,1,-0.07747032454241043,-1
U114@DOM1,14,60,0,60,0.0,1.0,11,9,3,0,51,3,6,18,19.308333333333334,1,-0.05521686212473398,-1
U1289@DOM1,12,71,0,71,0.0,1.0,14,11,2,0,47,3,18,3,21.343333333333334,1,-0.05186722699099133,-1
U1289@DOM1,13,55,0,55,0.0,1.0,13,10,2,0,41,2,19,0,19.55583333333333,1,-0.014884382224338744,-1
U1289@DOM1,14,74,0,74,0.0,1.0,12,10,3,0,60,2,26,0,23.377777777777776,1,-0.054051246226044625,-1
U12@DOM1,12,95,0,95,0.0,1.0,10,12,2,0,91,3,11,35,23.45722222222222,1,-0.0814858929413842,-1
U12@DOM1,13,64,0,64,0.0,1.0,11,15,2,0,61,3,13,15,23.660555555555558,1,-0.06765194148447018,-1
U12@DOM1,14,41,0,41,0.0,1.0,9,11,2,0,39,3,8,14,22.192222222222224,1,-0.03079771949397514,-1
U13@DOM1,12,64,0,64,0.0,1.0,9,6,2,0,60,3,12,26,23.044444444444444,1,-0.04596222526868976,-1
U13@DOM1,13,77,0,77,0.0,1.0,9,10,2,0,69,3,6,29,22.72055555555556,1,-0.06174845656549688,-1
U13@DOM1,14,59,0,59,0.0,1.0,6,6,2,0,55,3,3,24,23.131666666666668,1,-0.024406604001133703,-1
U1450@DOM1,12,66,0,66,0.0,1.0,11,11,2,0,57,2,30,0,22.682222222222222,1,-0.03190410271809052,-1
U1450@DOM1,13,67,0,67,0.0,1.0,11,9,2,0,60,3,29,1,23.54722222222222,1,-0.04196140057604092,-1
U1450@DOM1,14,67,0,67,0.0,1.0,11,10,2,0,60,2,25,0,23.584444444444443,1,-0.03079057669708729,-1
U1480@DOM1,13,62,1,61,0.0161290322580645,0.9838709677419356,16,9,2,0,39,3,16,5,23.3075,1,-0.06693730439508283,-1
U1480@DOM1,14,91,0,91,0.0,1.0,16,12,2,0,78,2,48,0,22.897222222222226,1,-0.06221134649939464,-1
U14@DOM1,12,146,0,146,0.0,1.0,7,6,1,0,146,3,14,64,8.655555555555555,0,-0.055268140057570636,-1
U1506@DOM1,12,73,0,73,0.0,1.0,13,12,2,0,62,3,26,1,20.96361111111111,1,-0.05553053353870041,-1
U1506@DOM1,13,94,0,94,0.0,1.0,19,12,2,0,74,3,24,10,23.273611111111112,1,-0.0809493057775671,-1
U1569@DOM1,12,71,0,71,0.0,1.0,4,3,2,0,67,3,32,1,23.82333333333333,1,-0.01757803752630316,-1
U1592@DOM1,12,67,1,66,0.0149253731343283,0.9850746268656716,15,15,2,0,61,3,22,1,22.95083333333333,1,-0.07320128012893123,-1
U1592@DOM1,13,91,0,91,0.0,1.0,17,18,2,0,78,3,31,2,22.99861111111111,1,-0.08336680959492271,-1
U1592@DOM1,14,42,0,42,0.0,1.0,15,14,2,0,35,2,13,0,22.851111111111116,1,-0.012865395605385577,-1
U162@DOM1,12,50,0,50,0.0,1.0,16,12,2,0,40,3,13,1,23.8725,1,-0.032214726066512545,-1
U162@DOM1,13,60,0,60,0.0,1.0,14,14,3,0,49,2,21,0,23.56138888888889,1,-0.04933349497864559,-1
U162@DOM1,14,90,0,90,0.0,1.0,21,19,3,0,72,3,28,0,22.87833333333333,1,-0.0809493057775671,-1
U1653@DOM1,12,72,0,72,0.0,1.0,28,46,2,0,39,3,1,16,15.611944444444443,1,-0.0612091198187843,-1
U1653@DOM1,13,57,0,57,0.0,1.0,24,34,2,0,27,3,2,10,14.248333333333331,1,-0.04469213226783153,-1
U1653@DOM1,14,71,0,71,0.0,1.0,22,27,2,0,25,3,6,6,17.93861111111111,1,-0.05457760601348438,-1
U1723@DOM1,12,124,0,124,0.0,1.0,32,37,3,0,83,3,27,11,20.86805555555556,1,-0.09967297702599709,-1
U1723@DOM1,13,33,0,33,0.0,1.0,18,14,3,0,25,3,8,2,12.893611111111111,1,-0.02669136633990432,-1
U1723@DOM1,14,43,0,43,0.0,1.0,15,10,2,0,32,3,11,3,9.625555555555556,1,-0.012158143524653942,-1
U207@DOM1,13,54,0,54,0.0,1.0,12,12,2,0,46,2,18,0,23.9525,1,-0.020678015356862423,-1
U207@DOM1,14,102,0,102,0.0,1.0,18,20,2,0,75,2,37,0,23.566388888888888,1,-0.07143105741834577,-1
U218@DOM1,12,89,0,89,0.0,1.0,15,11,3,0,66,3,30,1,20.947777777777777,1,-0.0691493678063273,-1
U218@DOM1,14,62,0,62,0.0,1.0,14,9,2,0,42,2,24,0,22.39027777777778,1,-0.01904049781748718,-1
U2231@DOM1,12,66,0,66,0.0,1.0,12,9,4,1,43,4,16,3,22.587222222222223,1,-0.07488342061016107,-1
U2231@DOM1,14,83,0,83,0.0,1.0,14,12,3,0,50,3,21,3,21.72972222222222,1,-0.07002889794093914,-1
U227@DOM1,14,58,0,58,0.0,1.0,8,8,3,1,32,1,0,0,23.00027777777778,1,-0.012931443350521876,-1
U22@DOM1,12,1073,58,1015,0.054054054054054,0.945945945945946,14,16,2,0,985,2,491,0,8.671666666666667,0,-0.10637068248950643,-1
U24@DOM1,12,69,0,69,0.0,1.0,13,9,4,12,38,3,21,0,22.34611111111111,1,-0.07028530999574334,-1
U24@DOM1,13,75,0,75,0.0,1.0,13,13,3,10,41,3,16,0,23.55388888888889,1,-0.07612812145683345,-1
U24@DOM1,14,56,0,56,0.0,1.0,15,12,4,7,31,3,13,0,21.739166666666662,1,-0.05761849558338783,-1
U2575@DOM1,12,36,0,36,0.0,1.0,11,9,2,0,34,3,18,1,22.926944444444445,1,-0.008266854885852326,-1
U2575@DOM1,13,74,0,74,0.0,1.0,13,11,2,0,62,3,32,1,23.711111111111112,1,-0.05722711280961845,-1
U2575@DOM1,14,90,0,90,0.0,1.0,16,15,2,0,79,3,31,6,23.105833333333333,1,-0.08687177956206693,-1
U2758@DOM1,12,52,0,52,0.0,1.0,17,11,4,1,25,2,14,0,9.196944444444444,1,-0.025252342696378993,-1
U2758@DOM1,13,102,0,102,0.0,1.0,13,9,2,0,87,3,37,1,9.268611111111111,1,-0.05039312203488522,-1
U292@DOM1,12,227,0,227,0.0,1.0,30,19,3,0,9,2,3,0,8.59388888888889,0,-0.00973211215590375,-1
U3005@DOM1,12,60,0,60,0.0,1.0,19,17,3,0,45,2,10,0,17.072777777777777,1,-0.03243220802854574,-1
U3005@DOM1,13,77,0,77,0.0,1.0,19,16,2,0,56,3,27,2,23.316388888888888,1,-0.06784488103164066,-1
U3005@DOM1,14,63,0,63,0.0,1.0,14,11,3,0,52,2,27,0,23.469722222222224,1,-0.04830416189719944,-1
U3206@DOM1,12,67,0,67,0.0,1.0,12,7,3,0,39,2,16,0,11.693055555555556,1,-0.009659660335848974,-1
U3206@DOM1,13,57,0,57,0.0,1.0,12,7,3,0,36,3,14,1,11.008888888888889,1,-0.008486741114648977,-1
U3206@DOM1,14,76,0,76,0.0,1.0,13,10,3,0,54,2,24,0,11.025555555555556,1,-0.04273512518422162,-1
U342@DOM1,12,84,0,84,0.0,1.0,16,22,2,0,72,2,40,0,22.934444444444445,1,-0.06509721562836202,-1
U342@DOM1,13,66,0,66,0.0,1.0,15,18,3,0,53,2,25,0,22.814722222222223,1,-0.05527926685193263,-1
U342@DOM1,14,50,0,50,0.0,1.0,18,15,3,0,38,3,19,0,23.497777777777777,1,-0.047456972898504035,-1
U3486@DOM1,12,129,0,129,0.0,1.0,18,8,2,0,25,2,14,0,22.389166666666668,1,-0.012557837937316574,-1
U34@DOM1,12,172,0,172,0.0,1.0,4,4,1,0,172,2,93,0,8.61111111111111,0,-0.02014643417541717,-1
U3549@DOM1,12,71,0,71,0.0,1.0,16,14,2,0,52,2,28,0,22.830277777777777,1,-0.04595104936888661,-1
U3549@DOM1,13,63,0,63,0.0,1.0,13,13,2,0,51,3,21,4,15.990833333333333,1,-0.054059218470863146,-1
U3549@DOM1,14,66,0,66,0.0,1.0,15,12,2,0,48,3,23,3,15.980555555555556,1,-0.05121434788022183,-1
U3575@DOM1,12,72,0,72,0.0,1.0,12,8,3,1,32,3,11,2,8.564722222222223,1,-0.0340670458505532,-1
U3575@DOM1,13,81,0,81,0.0,1.0,11,8,3,1,33,3,14,2,9.616666666666667,1,-0.037308411319125656,-1
U3635@DOM1,13,82,1,81,0.0121951219512195,0.9878048780487804,23,18,3,0,57,3,30,2,17.580277777777777,1,-0.09359068812496485,-1
U3635@DOM1,14,88,0,88,0.0,1.0,23,24,2,0,59,2,21,0,23.08388888888889,1,-0.05342216878945816,-1
U4112@DOM1,12,84,0,84,0.0,1.0,13,9,4,0,57,4,26,1,7.969444444444444,1,-0.05893598546980394,-1
U4112@DOM1,13,64,0,64,0.0,1.0,11,8,3,0,32,3,16,0,7.990555555555556,1,-0.0019932851765591675,-1
U415@DOM1,12,122,1,121,0.0081967213114754,0.9918032786885246,17,15,2,0,101,3,39,4,16.067777777777778,1,-0.10030362779076618,-1
U415@DOM1,13,76,0,76,0.0,1.0,10,8,3,1,65,3,26,2,16.331666666666667,1,-0.06817140957053647,-1
U4448@DOM1,12,101,2,99,0.0198019801980198,0.9801980198019802,19,17,4,1,76,3,26,2,21.2525,1,-0.11555634935268289,-1
U4448@DOM1,13,56,0,56,0.0,1.0,14,12,4,1,39,3,18,1,21.7775,1,-0.05998015297265902,-1
U4448@DOM1,14,43,0,43,0.0,1.0,15,13,3,0,32,2,17,0,23.56111111111111,1,-0.03227455420772751,-1
U453@DOM1,12,61,0,61,0.0,1.0,15,10,3,1,59,4,44,1,19.749166666666667,1,-0.0821024103775091,-1
U453@DOM1,13,81,0,81,0.0,1.0,13,11,3,0,77,3,21,17,18.02138888888889,1,-0.08068114830778272,-1
U453@DOM1,14,58,0,58,0.0,1.0,8,8,2,0,56,3,20,5,21.57611111111111,1,-0.03411136635730683,-1
U48@DOM1,12,116,0,116,0.0,1.0,1,1,1,0,116,2,53,0,8.599722222222223,0,-0.007068869286732338,-1
U5254@DOM1,13,93,0,93,0.0,1.0,6,5,2,0,91,2,39,0,23.558055555555555,1,-0.01659889920649793,-1
U5418@DOM1,12,47,7,40,0.1489361702127659,0.851063829787234,3,4,1,0,47,3,7,16,7.728611111111111,0,-0.03700550963214788,-1
U63@DOM1,12,151,0,151,0.0,1.0,5,5,3,9,126,3,66,0,8.545555555555556,0,-0.06779800956454551,-1
U655@DOM1,12,68,0,68,0.0,1.0,18,13,2,0,42,3,12,3,22.31055555555556,1,-0.05380015619511247,-1
U655@DOM1,13,61,0,61,0.0,1.0,14,10,3,0,42,3,12,3,22.731944444444444,1,-0.06108713042481384,-1
U655@DOM1,14,71,0,71,0.0,1.0,18,13,2,0,40,3,20,2,23.05444444444445,1,-0.05373062850189636,-1
U6691@DOM1,12,46,0,46,0.0,1.0,12,9,3,0,30,2,16,0,20.098333333333333,1,-0.01580877410702186,-1
U6691@DOM1,14,112,0,112,0.0,1.0,9,5,4,1,91,3,31,18,16.613333333333333,1,-0.08965874315350886,-1
U6764@DOM1,12,99,0,99,0.0,1.0,8,7,2,0,84,3,39,1,7.813888888888889,1,-0.028706504089069718,-1
U6@DOM1,12,92,0,92,0.0,1.0,10,10,2,0,91,2,44,0,8.610555555555555,0,-0.040583374104852465,-1
U737@DOM1,12,94,0,94,0.0,1.0,37,27,5,1,45,4,16,4,21.06861111111111,1,-0.09865679810001826,-1
U737@DOM1,13,53,0,53,0.0,1.0,20,17,2,0,45,3,19,5,17.37527777777778,1,-0.05743501535876705,-1
U737@DOM1,14,53,0,53,0.0,1.0,24,21,2,0,27,2,13,0,18.569166666666668,1,-0.016175488048105424,-1
U7507@DOM1,12,94,5,89,0.0531914893617021,0.946808510638298,20,10,4,1,62,3,18,17,10.510555555555555,1,-0.11443746591941495,-1
U7507@DOM1,13,54,0,54,0.0,1.0,9,6,3,0,32,3,16,2,9.318333333333332,1,-0.0024189551516317076,-1
U7594@DOM1,12,72,0,72,0.0,1.0,11,9,3,0,48,2,18,0,22.061666666666667,1,-0.03609081058547614,-1
U7594@DOM1,14,65,0,65,0.0,1.0,8,6,3,0,46,2,25,0,21.93861111111111,1,-0.016666168535712345,-1
U78@DOM1,12,75,0,75,0.0,1.0,8,6,3,11,35,3,15,0,22.723055555555558,1,-0.039752449912285326,-1
U78@DOM1,13,67,0,67,0.0,1.0,6,4,3,7,22,3,12,0,22.099444444444444,1,-0.008592472271799823,-1
U78@DOM1,14,58,0,58,0.0,1.0,7,5,3,8,13,3,7,0,22.865,1,-0.006204604017485349,-1
U7@DOM1,12,176,0,176,0.0,1.0,13,11,3,0,165,3,74,0,8.6375,0,-0.08339071493335237,-1
U825@DOM1,13,59,0,59,0.0,1.0,12,10,2,0,53,2,27,0,22.08222222222222,1,-0.024287123222814233,-1
U825@DOM1,14,70,0,70,0.0,1.0,10,9,2,0,60,3,20,1,22.58277777777778,1,-0.037452097766733194,-1
U8601@DOM1,12,90,0,90,0.0,1.0,19,12,4,0,55,3,29,0,22.06583333333333,1,-0.06493341205939263,-1
U8601@DOM1,13,60,0,60,0.0,1.0,12,12,2,0,50,2,23,0,22.706666666666667,1,-0.02639995666367323,-1
U86@DOM1,12,74,0,74,0.0,1.0,10,7,2,0,59,3,25,4,23.78333333333333,1,-0.051608906125545584,-1
U86@DOM1,13,63,1,62,0.0158730158730158,0.984126984126984,14,10,2,0,45,3,17,3,21.878888888888888,1,-0.0668149452518283,-1
U86@DOM1,14,63,0,63,0.0,1.0,13,10,3,1,43,3,22,1,21.477777777777774,1,-0.0625956656219171,-1
U8777@DOM1,12,66,0,66,0.0,1.0,13,7,3,0,45,3,13,9,10.12111111111111,1,-0.04030172350455674,-1
U8777@DOM1,13,77,1,76,0.0129870129870129,0.987012987012987,16,17,2,0,62,3,26,2,21.688055555555557,1,-0.08470475979982606,-1
U8777@DOM1,14,57,0,57,0.0,1.0,9,8,2,0,49,3,23,4,15.251944444444444,1,-0.03134058826440134,-1
U890@DOM1,12,57,0,57,0.0,1.0,3,4,2,0,56,3,23,12,8.259444444444444,0,-0.0010420590638954286,-1
U8946@DOM1,12,54,0,54,0.0,1.0,12,9,2,0,47,2,20,0,22.309166666666663,1,-0.009704771260174105,-1
U8946@DOM1,13,64,0,64,0.0,1.0,9,7,2,0,55,2,29,0,23.4125,1,-0.015200517652810164,-1
U8946@DOM1,14,82,0,82,0.0,1.0,18,13,5,0,51,2,23,0,23.31083333333333,1,-0.057947674890236,-1
U8@DOM1,12,61,0,61,0.0,1.0,9,11,2,0,59,2,28,0,8.554444444444444,0,-0.009522321965486524,-1
U9263@DOM1,12,80,0,80,0.0,1.0,14,9,2,0,71,3,36,1,16.046388888888888,1,-0.050007360516680865,-1
U9263@DOM1,13,71,0,71,0.0,1.0,16,15,2,0,55,2,25,0,19.046388888888888,1,-0.041095769876800525,-1
U9263@DOM1,14,49,0,49,0.0,1.0,14,9,2,0,39,3,22,1,22.77083333333333,1,-0.025198079158277986,-1
U9407@DOM1,12,78,0,78,0.0,1.0,13,10,3,0,56,2,20,0,23.364166666666662,1,-0.0488866693225779,-1
U9407@DOM1,13,62,1,61,0.0161290322580645,0.9838709677419356,10,9,2,0,58,3,27,2,23.835555555555555,1,-0.066061251916674,-1
U9407@DOM1,14,60,0,60,0.0,1.0,11,10,2,0,46,2,23,0,18.476388888888888,1,-0.016361001419900933,-1
U94@DOM1,12,157,0,157,0.0,1.0,3,3,3,0,95,3,0,49,8.57611111111111,0,-0.043294931147949356,-1
