total_logons,failed_logons,failure_rate,unique_destinations,unique_source_computers,unique_logon_types,batch_or_rdp_logons,network_logons,unique_auth_types,kerberos_logons,ntlm_logons,active_hours
1,0,0.0,1,1,1,0,1,1,0,1,0.0
1,0,0.0,1,1,1,0,1,1,0,1,0.0
1,0,0.0,1,1,1,0,1,1,0,1,0.0
26,0,0.0,1,1,1,0,26,1,0,0,7.740833333333334
1,0,0.0,1,1,1,0,1,1,0,0,0.0
1,0,0.0,1,1,1,0,1,1,0,0,0.0
2,0,0.0,1,1,1,0,2,1,0,0,4.0125
1,0,0.0,1,1,1,0,1,1,0,0,0.0
7,0,0.0,1,1,1,0,7,1,0,0,7.966666666666667
1,0,0.0,1,1,1,0,1,1,0,0,0.0
1,0,0.0,1,1,1,0,1,1,0,0,0.0
1,0,0.0,1,1,1,0,1,1,0,0,0.0
1,0,0.0,1,1,1,0,1,1,0,0,0.0
1,0,0.0,1,1,1,0,1,1,0,0,0.0
1,0,0.0,1,1,1,0,1,1,0,0,0.0
1,0,0.0,1,1,1,0,1,1,0,0,0.0
5,0,0.0,1,1,1,0,5,1,0,0,4.545
1,0,0.0,1,1,1,0,1,1,0,0,0.0
81,0,0.0,1,45,1,0,81,2,0,47,8.392777777777777
1,0,0.0,1,1,1,0,1,1,0,0,0.0
143,0,0.0,1,68,1,0,143,2,0,77,8.603333333333333
1,0,0.0,1,1,1,0,1,1,0,0,0.0
93,0,0.0,1,46,1,0,93,2,0,49,8.525555555555556
117,0,0.0,1,61,1,0,117,2,0,66,8.635277777777778
1,0,0.0,1,1,1,0,1,1,0,0,0.0
4,0,0.0,1,1,1,0,4,1,0,0,3.0241666666666664
1,0,0.0,1,1,1,0,1,1,0,0,0.0
1140,0,0.0,1,651,1,0,1140,2,0,870,8.656944444444445
1,0,0.0,1,1,1,0,1,1,0,0,0.0
1,0,0.0,1,1,1,0,1,1,0,1,0.0
143,0,0.0,1,63,1,0,143,2,0,85,8.565
20,0,0.0,1,3,1,0,20,2,0,14,7.493055555555555
99,0,0.0,1,47,1,0,99,2,0,55,8.563333333333333
1,0,0.0,1,1,1,0,1,1,0,1,0.0
1,0,0.0,1,1,1,0,1,1,0,0,0.0
1,0,0.0,1,1,1,0,1,1,0,0,0.0
1,0,0.0,1,1,1,0,1,1,0,0,0.0
2,0,0.0,1,1,1,0,2,1,0,0,7.0152777777777775
16,0,0.0,1,7,1,0,16,2,0,7,2.3533333333333335
1,0,0.0,1,1,1,0,1,1,0,0,0.0
1,0,0.0,1,1,1,0,1,1,0,1,0.0
1,0,0.0,1,1,1,0,1,1,0,1,0.0
1,0,0.0,1,1,1,0,1,1,0,1,0.0
3,0,0.0,3,2,2,0,2,2,1,0,1.8683333333333334
8,4,0.5,7,7,2,0,7,3,1,0,2.404166666666667
2,0,0.0,2,2,1,0,2,2,0,1,5.272222222222222
1,0,0.0,1,1,1,0,0,1,0,0,0.0
2,0,0.0,2,1,1,0,2,1,2,0,6.801944444444445
1,0,0.0,1,1,1,0,1,1,0,0,0.0
1,0,0.0,1,1,1,0,1,1,0,0,0.0
2,0,0.0,1,1,1,0,2,1,0,0,3.915277777777778
3,0,0.0,1,2,1,0,3,2,1,0,1.755
4,0,0.0,3,3,1,0,4,3,1,1,5.210555555555556
1,0,0.0,1,1,1,0,1,1,0,0,0.0
7,0,0.0,4,4,1,0,7,2,2,0,5.515833333333333
3,0,0.0,3,2,1,0,3,2,2,0,0.4305555555555556
3,0,0.0,3,3,1,0,3,2,1,0,6.490555555555556
5,0,0.0,2,2,1,0,5,2,3,0,7.224444444444444
4,0,0.0,3,2,3,0,2,3,1,0,0.13694444444444445
4,0,0.0,2,2,2,0,3,2,2,0,0.05555555555555555
3,0,0.0,2,2,1,0,3,2,2,0,3.556388888888889
7,0,0.0,4,4,1,0,7,2,2,0,3.643611111111111
1,0,0.0,1,1,1,0,1,1,1,0,0.0
4,0,0.0,2,3,2,0,3,2,1,0,2.151388888888889
3,0,0.0,2,2,2,0,2,2,1,0,4.9061111111111115
2,0,0.0,1,2,1,0,2,2,1,0,4.2525
1,0,0.0,1,1,1,0,1,1,1,0,0.0
3,0,0.0,2,2,2,0,2,1,0,0,7.001388888888889
3,0,0.0,2,2,1,0,3,2,2,0,3.7855555555555553
3,0,0.0,2,2,2,0,2,2,1,0,0.006944444444444444
4,0,0.0,2,3,1,0,4,2,2,0,6.178055555555556
2,0,0.0,2,2,2,0,1,1,0,0,0.002777777777777778
8,0,0.0,6,7,2,0,7,2,1,0,7.211111111111111
1,0,0.0,1,1,1,0,0,1,0,0,0.0
4,0,0.0,2,2,2,0,3,2,2,0,8.664722222222222
2,0,0.0,2,2,1,0,2,2,0,1,0.01
1,0,0.0,1,1,1,0,0,1,0,0,0.0
6,0,0.0,3,3,1,0,6,2,3,0,0.1386111111111111
9,0,0.0,4,2,2,0,7,2,5,0,6.073888888888889
6,0,0.0,4,4,2,0,5,1,0,0,4.184166666666667
2,0,0.0,2,1,1,0,2,1,2,0,2.5661111111111112
1,0,0.0,1,1,1,0,1,1,0,0,0.0
3,0,0.0,2,2,1,0,3,1,0,0,7.1113888888888885
1,0,0.0,1,1,1,0,1,1,1,0,0.0
2,0,0.0,1,2,2,0,1,1,0,0,3.984722222222222
1,0,0.0,1,1,1,0,1,1,1,0,0.0
1,0,0.0,1,1,1,0,1,1,0,0,0.0
3,0,0.0,2,2,1,0,3,2,2,0,1.9561111111111111
2,0,0.0,2,1,2,0,1,2,1,0,1.1547222222222222
4,0,0.0,1,1,1,0,4,1,4,0,7.242222222222222
5,0,0.0,5,2,2,0,3,2,2,0,0.1975
3,0,0.0,1,2,1,0,3,2,1,0,1.9427777777777777
2,0,0.0,1,1,1,0,2,1,2,0,3.2016666666666667
2,0,0.0,2,2,1,0,2,1,0,0,0.7733333333333333
1,0,0.0,1,1,1,0,1,1,1,0,0.0
3,0,0.0,2,2,1,0,3,1,0,0,0.15583333333333332
21,0,0.0,2,2,1,0,21,2,12,0,7.590277777777778
137,0,0.0,15,11,2,0,132,3,60,3,8.537777777777778
2,0,0.0,2,2,2,0,1,1,0,0,0.02722222222222222
2,0,0.0,2,2,1,0,2,2,1,0,1.0216666666666667
6,0,0.0,3,3,1,0,6,2,2,0,6.336388888888889
6,0,0.0,4,2,1,0,6,2,5,0,7.856388888888889
2,0,0.0,2,1,1,0,2,2,1,1,0.18194444444444444
2,0,0.0,1,2,1,0,2,2,1,0,2.9983333333333335
3,0,0.0,1,1,1,0,3,1,3,0,0.4
1,0,0.0,1,1,1,0,0,1,0,0,0.0
4,0,0.0,2,2,3,0,2,2,0,0,7.578611111111111
6,0,0.0,3,3,1,0,6,3,3,1,6.674444444444444
3,0,0.0,2,1,1,0,0,1,0,0,4.5
1,0,0.0,1,1,1,0,1,1,1,0,0.0
4,0,0.0,3,3,1,0,4,2,2,0,7.907777777777778
4,0,0.0,2,2,1,0,4,3,2,1,4.346111111111111
3,0,0.0,1,2,1,0,3,3,1,1,3.4097222222222223
1,0,0.0,1,1,1,0,1,1,0,0,0.0
2,0,0.0,1,2,1,0,2,2,1,0,0.0
3,0,0.0,2,2,1,0,3,2,1,0,6.828055555555555
3,0,0.0,2,2,1,0,3,1,0,0,2.051388888888889
1,0,0.0,1,1,1,0,1,1,1,0,0.0
1,0,0.0,1,1,1,0,1,1,0,0,0.0
2,0,0.0,2,1,1,0,2,1,2,0,0.16166666666666665
11,4,0.36363636363636365,7,6,2,0,7,3,1,0,6.921111111111111
3,0,0.0,1,2,1,0,3,2,1,0,1.2355555555555555
8,0,0.0,6,3,2,0,6,2,4,0,7.073611111111111
4,0,0.0,3,2,2,0,3,2,2,0,5.552222222222222
4,0,0.0,4,4,2,0,3,1,0,0,3.9705555555555554
6,0,0.0,3,3,2,0,5,2,2,0,6.8197222222222225
2,0,0.0,2,2,1,0,2,1,0,0,3.750277777777778
4,0,0.0,3,2,2,0,3,2,2,0,0.3138888888888889
4,0,0.0,3,3,1,0,4,2,1,0,1.7927777777777778
3,0,0.0,3,1,2,0,2,3,1,1,4.8133333333333335
2,0,0.0,2,2,1,0,2,2,1,0,4.254444444444444
4,0,0.0,3,1,2,0,3,3,1,2,6.730833333333333
2,0,0.0,2,1,1,0,2,1,2,0,1.2047222222222222
6,0,0.0,2,2,1,0,6,1,0,0,5.3630555555555555
3,0,0.0,2,2,1,0,3,1,0,0,6.691666666666666
4,0,0.0,2,2,2,0,3,2,2,0,3.7536111111111112
1,0,0.0,1,1,1,0,1,1,1,0,0.0
5,0,0.0,3,3,1,0,5,2,3,0,0.21166666666666667
1,0,0.0,1,1,1,0,1,1,1,0,0.0
4,0,0.0,3,3,1,0,4,2,0,1,8.148055555555555
3,0,0.0,2,3,1,0,3,2,1,0,3.4155555555555557
3,0,0.0,2,3,1,0,3,2,1,0,5.740277777777778
2,0,0.0,2,2,2,0,1,1,0,0,0.0019444444444444444
6,0,0.0,4,3,2,0,5,2,3,0,5.9825
1,0,0.0,1,1,1,0,1,1,1,0,0.0
3,0,0.0,1,2,1,0,3,2,1,0,1.2372222222222222
1,0,0.0,1,1,1,0,1,1,1,0,0.0
7,0,0.0,2,3,1,0,7,2,1,0,7.25
6,0,0.0,4,4,2,0,4,3,2,0,4.1563888888888885
4,0,0.0,2,2,1,0,4,2,3,0,6.4863888888888885
2,0,0.0,2,2,1,0,2,1,0,0,4.440555555555555
3,0,0.0,2,2,2,0,2,2,1,0,0.7663888888888889
9,0,0.0,5,4,2,0,7,2,1,0,6.994166666666667
6,0,0.0,5,2,2,0,4,2,3,0,5.441388888888889
1,0,0.0,1,1,1,0,1,1,0,0,0.0
3,0,0.0,2,1,1,0,3,1,3,0,5.600555555555555
4,0,0.0,3,3,1,0,4,1,0,0,0.9511111111111111
3,0,0.0,3,2,2,0,2,1,0,0,5.748611111111111
6,0,0.0,4,3,2,0,5,2,3,0,8.312222222222223
4,0,0.0,2,2,2,0,3,2,2,0,1.126111111111111
1,0,0.0,1,1,1,0,1,1,1,0,0.0
2,0,0.0,2,1,2,0,1,2,1,0,2.4322222222222223
2,0,0.0,1,2,2,0,1,1,0,0,3.0658333333333334
5,0,0.0,3,4,1,0,5,3,1,1,7.701388888888889
8,0,0.0,4,3,1,0,8,2,5,0,7.490277777777778
4,0,0.0,4,3,1,0,4,3,1,1,6.855555555555555
3,0,0.0,2,2,1,0,3,1,0,0,2.996111111111111
3,0,0.0,2,2,1,0,3,2,2,0,5.244722222222222
4,0,0.0,2,3,1,0,4,2,2,0,3.2086111111111113
3,0,0.0,2,2,1,0,3,2,2,0,3.591111111111111
18,0,0.0,6,4,2,0,17,2,9,0,7.7780555555555555
3,0,0.0,3,2,1,0,3,2,2,0,0.6969444444444445
3,0,0.0,2,3,1,0,3,2,1,0,5.4158333333333335
3,0,0.0,3,2,1,0,3,2,2,0,5.451388888888889
2,0,0.0,2,2,1,0,2,1,0,0,0.0030555555555555557
1,0,0.0,1,1,1,0,1,1,1,0,0.0
5,0,0.0,2,2,2,0,4,2,2,0,0.07527777777777778
3,0,0.0,2,2,1,0,3,2,2,0,3.825833333333333
5,0,0.0,3,4,1,0,5,2,1,0,4.778611111111111
8,0,0.0,5,4,2,0,7,3,3,1,3.9697222222222224
5,0,0.0,2,2,1,0,5,2,1,0,6.655833333333334
5,0,0.0,2,2,2,0,4,2,1,0,4.931388888888889
4,0,0.0,3,3,1,0,4,3,1,1,8.410555555555556
3,0,0.0,2,2,2,0,1,1,0,0,0.5530555555555555
4,0,0.0,4,2,2,0,2,2,1,0,0.19611111111111112
2,0,0.0,2,2,2,0,1,1,0,0,7.2780555555555555
4,0,0.0,4,3,1,0,4,2,2,0,5.7813888888888885
1,0,0.0,1,1,1,0,1,1,0,0,0.0
3,0,0.0,2,1,2,0,2,2,2,0,0.2761111111111111
4,0,0.0,2,3,1,0,4,2,1,0,5.338611111111111
4,0,0.0,2,2,1,0,4,1,0,0,6.515833333333333
10,0,0.0,4,5,2,0,9,2,5,0,6.829444444444444
6,0,0.0,6,3,3,0,4,4,2,1,0.8269444444444445
5,0,0.0,3,2,1,0,5,3,2,1,5.524444444444445
5,0,0.0,3,3,1,0,5,2,2,0,7.563888888888889
4,0,0.0,4,3,1,0,4,2,2,0,5.7508333333333335
5,0,0.0,1,2,1,0,5,2,2,0,5.219444444444444
4,0,0.0,3,2,2,0,3,2,1,0,5.511111111111111
5,0,0.0,5,4,2,0,4,2,1,0,3.401388888888889
3,0,0.0,3,1,2,0,1,2,0,1,0.0075
1,0,0.0,1,1,1,0,1,1,0,0,0.0
2,0,0.0,1,2,1,0,2,2,1,0,1.7352777777777777
6,0,0.0,4,4,1,0,6,2,1,0,6.316388888888889
4,0,0.0,4,2,2,0,2,2,0,1,0.4275
1,0,0.0,1,1,1,0,1,1,1,0,0.0
2,0,0.0,1,1,1,0,2,1,0,0,2.2466666666666666
3,0,0.0,3,1,1,0,3,2,2,1,3.6369444444444445
2,0,0.0,2,2,1,0,2,2,1,0,3.9525
2,0,0.0,2,2,1,0,2,2,1,0,5.332222222222223
2,0,0.0,2,2,2,0,1,2,0,0,1.7233333333333334
3,0,0.0,2,1,1,0,3,2,2,1,6.375277777777778
4,0,0.0,2,2,1,0,4,2,2,0,4.246388888888889
4,0,0.0,3,3,2,0,3,2,1,0,7.03
2,0,0.0,2,2,2,0,1,1,0,0,0.008611111111111111
5,0,0.0,2,3,1,0,5,2,3,0,6.245
4,0,0.0,3,2,1,0,4,2,2,0,5.4
3,0,0.0,1,1,1,0,3,1,3,0,1.7505555555555556
4,0,0.0,3,3,1,0,4,2,2,0,7.315
3,0,0.0,3,1,2,0,2,2,2,0,6.25
2,0,0.0,2,2,1,0,2,1,0,0,5.973333333333334
1,0,0.0,1,1,1,0,1,1,0,0,0.0
2,0,0.0,2,1,1,0,2,1,2,0,0.018333333333333333
5,0,0.0,2,3,1,0,5,2,2,0,3.7455555555555557
9,0,0.0,6,5,3,0,7,3,1,0,7.705277777777778
1,0,0.0,1,1,1,0,0,1,0,0,0.0
4,0,0.0,1,2,1,0,4,2,2,0,0.11694444444444445
3,0,0.0,3,1,1,0,3,1,3,0,0.39361111111111113
3,0,0.0,2,2,1,0,3,2,1,0,5.648611111111111
6,0,0.0,4,4,2,0,5,2,1,0,5.139722222222222
2,0,0.0,2,2,1,0,2,1,0,0,1.0930555555555554
1,0,0.0,1,1,1,0,0,1,0,0,0.0
1,0,0.0,1,1,1,0,1,1,1,0,0.0
1,0,0.0,1,1,1,0,1,1,0,0,0.0
3,0,0.0,3,1,1,0,3,2,2,1,6.181388888888889
3,0,0.0,2,1,2,0,1,2,1,0,4.458333333333333
2,0,0.0,2,1,1,0,2,1,2,0,1.3736111111111111
1,0,0.0,1,1,1,0,0,1,0,0,0.0
2,0,0.0,1,1,1,0,2,2,1,1,2.3230555555555554
2,0,0.0,2,2,1,0,2,2,1,0,5.6802777777777775
2,0,0.0,1,2,1,0,2,2,1,0,2.5508333333333333
8,0,0.0,3,3,2,0,7,2,3,0,7.003333333333333
4,0,0.0,2,2,1,0,4,3,1,1,3.218888888888889
23,0,0.0,5,2,2,0,22,2,11,0,7.425277777777778
1,0,0.0,1,1,1,0,1,1,0,1,0.0
4,0,0.0,2,2,1,0,4,1,0,0,7.936944444444444
3,0,0.0,2,2,2,0,2,1,0,0,1.9158333333333333
7,0,0.0,5,4,1,0,7,3,1,2,4.887222222222222
1,0,0.0,1,1,1,0,1,1,1,0,0.0
393,3,0.007633587786259542,15,15,2,0,318,2,159,0,8.655277777777778
1,0,0.0,1,1,1,0,1,1,1,0,0.0
1,0,0.0,1,1,1,0,1,1,0,0,0.0
3,0,0.0,2,2,1,0,3,2,1,0,7.8438888888888885
4,0,0.0,3,4,1,0,4,2,1,0,5.0377777777777775
2,0,0.0,2,1,1,0,0,1,0,0,0.004166666666666667
4,0,0.0,4,3,2,0,3,2,1,0,5.145833333333333
1,0,0.0,1,1,1,0,0,1,0,0,0.0
2,0,0.0,2,1,1,0,2,2,1,1,0.044444444444444446
8,0,0.0,3,4,1,0,8,3,3,2,7.424444444444444
2,0,0.0,1,1,2,0,1,2,1,0,0.0125
13,0,0.0,6,3,3,0,9,3,5,0,6.3741666666666665
4,0,0.0,3,3,1,0,4,2,0,1,5.091666666666667
7,0,0.0,4,5,1,0,7,2,3,0,7.3005555555555555
3,0,0.0,2,2,1,0,3,1,0,0,2.9547222222222222
1,0,0.0,1,1,1,0,1,1,1,0,0.0
1,0,0.0,1,1,1,0,0,1,0,0,0.0
9,0,0.0,5,4,3,0,7,4,3,1,0.1325
2,0,0.0,2,1,1,0,2,1,2,0,0.7277777777777777
8,0,0.0,3,3,1,0,8,2,5,0,6.611111111111111
3,0,0.0,3,3,1,0,3,2,0,1,0.195
1,0,0.0,1,1,1,0,1,1,0,0,0.0
3,0,0.0,2,2,2,0,2,2,1,0,0.5255555555555556
3,0,0.0,2,2,2,0,2,2,1,0,3.573611111111111
1,0,0.0,1,1,1,0,1,1,0,0,0.0
3,0,0.0,3,3,2,0,2,1,0,0,3.4166666666666665
1,0,0.0,1,1,1,0,1,1,1,0,0.0
2,0,0.0,2,2,2,0,1,1,0,0,0.26805555555555555
3,0,0.0,3,1,2,0,2,2,2,0,0.5277777777777778
2,0,0.0,2,1,2,0,1,2,1,0,3.4930555555555554
4,0,0.0,4,1,2,0,3,2,3,0,0.27166666666666667
1,0,0.0,1,1,1,0,0,1,0,0,0.0
2,0,0.0,2,1,2,0,1,2,1,0,5.863333333333333
5,0,0.0,3,3,1,0,5,2,3,0,7.328333333333333
4,0,0.0,4,2,1,0,4,2,3,0,8.3
3,0,0.0,2,3,1,0,3,2,1,0,3.368333333333333
3,0,0.0,2,2,1,0,3,2,1,0,0.014166666666666666
2,0,0.0,2,1,1,0,2,1,2,0,5.2027777777777775
3,0,0.0,2,2,1,0,3,2,1,0,7.945
3,0,0.0,3,2,2,0,2,2,1,0,0.25722222222222224
3,0,0.0,2,2,1,0,3,2,0,1,8.077222222222222
4,0,0.0,2,2,1,0,4,2,2,0,2.5980555555555553
8,0,0.0,4,2,1,0,8,2,6,0,6.8438888888888885
1,0,0.0,1,1,1,0,1,1,1,0,0.0
4,0,0.0,2,2,1,0,4,1,0,0,6.8597222222222225
4,0,0.0,3,1,2,0,3,2,3,0,3.290277777777778
9,0,0.0,6,4,1,0,9,2,6,0,6.855833333333333
5,0,0.0,2,2,1,0,5,2,2,0,3.748611111111111
3,0,0.0,3,3,1,0,3,2,1,0,0.2788888888888889
1,0,0.0,1,1,1,0,1,1,0,0,0.0
7,0,0.0,5,3,1,0,7,2,5,0,0.4122222222222222
5,0,0.0,2,3,1,0,5,2,3,0,5.5055555555555555
9,0,0.0,4,3,2,0,8,3,3,1,7.291388888888889
3,0,0.0,2,2,2,0,2,2,2,0,0.014722222222222222
4,0,0.0,3,3,2,0,3,1,0,0,3.568888888888889
3,0,0.0,3,3,1,0,3,1,0,0,6.476388888888889
1,0,0.0,1,1,1,0,1,1,0,0,0.0
21,0,0.0,4,4,1,0,21,2,10,0,7.164722222222222
3,0,0.0,3,1,2,0,2,2,2,0,5.1386111111111115
2,0,0.0,2,2,1,0,2,2,1,0,0.21777777777777776
3,0,0.0,2,3,1,0,3,2,1,0,7.920833333333333
2,0,0.0,2,2,2,0,1,1,0,0,1.6819444444444445
2,0,0.0,2,1,2,0,1,2,1,0,3.2866666666666666
4,0,0.0,2,1,2,0,3,2,3,0,3.8847222222222224
2,0,0.0,2,2,1,0,2,1,0,0,6.624722222222222
3,0,0.0,2,2,1,0,3,1,0,0,2.1858333333333335
4,0,0.0,3,4,1,0,4,2,2,0,8.573333333333334
5,0,0.0,4,2,1,0,5,2,3,0,5.566111111111111
5,0,0.0,3,2,1,0,5,2,4,0,8.089444444444444
3,0,0.0,3,2,2,0,2,2,1,0,1.9097222222222223
4,0,0.0,3,2,2,0,3,2,2,0,6.985555555555556
7,0,0.0,4,4,2,0,6,2,3,0,8.625
5,0,0.0,4,2,2,0,4,2,3,0,7.309166666666667
3,0,0.0,3,2,1,0,3,3,1,1,4.54
26,0,0.0,5,3,2,0,25,3,14,1,7.9127777777777775
5,0,0.0,4,3,2,0,4,2,2,0,0.21611111111111111
2,0,0.0,2,2,1,0,2,2,1,0,3.263333333333333
8,0,0.0,5,5,1,0,8,2,4,0,7.3886111111111115
3,0,0.0,2,3,1,0,3,2,1,0,0.7125
1,0,0.0,1,1,1,0,0,1,0,0,0.0
4,0,0.0,2,3,1,0,4,2,2,0,0.041666666666666664
2,0,0.0,1,2,1,0,2,2,1,0,1.8858333333333333
3,0,0.0,3,3,1,0,3,2,1,0,0.16555555555555557
1,0,0.0,1,1,1,0,1,1,1,0,0.0
4,0,0.0,4,2,2,0,3,2,2,0,2.0952777777777776
4,0,0.0,2,2,1,0,4,2,1,0,1.9352777777777779
3,0,0.0,3,1,1,0,3,1,3,0,6.76
2,0,0.0,2,1,1,0,2,1,2,0,0.8280555555555555
2,0,0.0,1,2,1,0,2,2,1,0,2.2644444444444445
1,0,0.0,1,1,1,0,1,1,0,0,0.0
1,0,0.0,1,1,1,0,1,1,0,0,0.0
3,0,0.0,3,3,2,0,2,2,0,0,5.660833333333334
6,0,0.0,5,3,2,0,4,3,2,0,5.614722222222222
2,0,0.0,1,2,2,0,1,1,0,0,3.402222222222222
2,0,0.0,2,2,2,0,0,2,0,0,0.26305555555555554
2,0,0.0,2,2,1,0,2,2,1,0,0.115
2,0,0.0,2,2,1,0,2,2,1,0,3.0605555555555557
4,0,0.0,4,3,2,0,3,2,1,0,8.325833333333334
5,0,0.0,2,3,1,0,5,2,2,0,6.072222222222222
5,0,0.0,2,2,1,0,5,3,1,1,7.511111111111111
2,0,0.0,2,2,1,0,2,2,1,0,2.496111111111111
2,0,0.0,2,1,1,0,2,1,2,0,4.259166666666666
1,0,0.0,1,1,1,0,1,1,0,0,0.0
5,0,0.0,3,3,2,0,4,2,1,0,5.237777777777778
2,0,0.0,2,2,1,0,2,2,1,0,0.06888888888888889
2,0,0.0,2,1,1,0,2,1,2,0,0.9508333333333333
3,0,0.0,2,3,1,0,3,2,1,0,0.8288888888888889
3,0,0.0,2,3,2,0,2,2,1,0,1.6180555555555556
2,0,0.0,1,2,1,0,2,2,1,0,2.1975
3,0,0.0,3,1,1,0,3,1,3,0,4.371666666666667
6,0,0.0,3,3,2,0,5,1,0,0,5.344166666666666
4,0,0.0,4,2,2,0,3,2,2,0,1.3122222222222222
3,0,0.0,3,1,2,0,1,2,1,0,0.1925
1,0,0.0,1,1,1,0,1,1,1,0,0.0
3,0,0.0,2,2,2,0,2,1,0,0,1.8966666666666667
3,0,0.0,2,2,1,0,3,2,2,0,5.003888888888889
2,0,0.0,2,2,1,0,2,2,0,1,3.502222222222222
2,0,0.0,2,2,1,0,2,2,1,0,0.6480555555555556
10,0,0.0,6,4,2,0,9,2,4,0,6.988611111111111
3,0,0.0,3,1,2,0,2,3,1,1,0.8572222222222222
4,0,0.0,3,3,1,0,4,1,0,0,3.4175
3,0,0.0,1,1,1,0,3,1,0,0,2.5580555555555557
2,0,0.0,2,1,2,0,1,2,1,0,0.775
2,0,0.0,2,1,1,0,2,2,1,0,1.7677777777777777
200,1,0.005,7,9,2,0,199,3,102,0,8.580833333333333
2,0,0.0,2,2,2,0,1,1,0,0,0.0
1,0,0.0,1,1,1,0,1,1,1,0,0.0
4,0,0.0,4,2,2,0,3,2,2,0,7.199722222222222
2,0,0.0,2,2,1,0,2,2,1,0,6.193888888888889
1,0,0.0,1,1,1,0,1,1,0,0,0.0
1,0,0.0,1,1,1,0,1,1,0,1,0.0
2,0,0.0,2,2,1,0,2,2,0,1,2.160277777777778
6,0,0.0,5,2,2,0,2,2,1,0,7.292777777777777
1,0,0.0,1,1,1,0,0,1,0,0,0.0
5,0,0.0,3,3,2,0,4,2,0,1,7.246111111111111
6,0,0.0,4,4,1,0,6,2,3,0,5.213888888888889
4,0,0.0,3,2,2,0,3,2,1,0,1.9933333333333334
4,0,0.0,2,3,2,0,3,2,1,0,0.15527777777777776
8,0,0.0,4,2,2,0,7,3,3,1,7.356388888888889
2,0,0.0,2,2,1,0,2,2,1,0,0.009166666666666667
1,0,0.0,1,1,1,0,1,1,0,0,0.0
3,0,0.0,2,3,1,0,3,2,1,0,3.265
24,0,0.0,3,3,1,0,24,2,10,0,7.164444444444444
3,0,0.0,2,2,2,0,2,2,0,0,5.878888888888889
1,0,0.0,1,1,1,0,1,1,1,0,0.0
1,0,0.0,1,1,1,0,1,1,0,0,0.0
4,0,0.0,2,2,2,0,3,3,1,1,0.1525
3,0,0.0,3,1,2,0,2,3,1,1,8.461944444444445
6,0,0.0,5,3,2,0,5,3,3,1,5.558611111111111
5,0,0.0,3,3,2,0,4,2,0,1,1.3072222222222223
1,0,0.0,1,1,1,0,1,1,0,0,0.0
2,0,0.0,2,2,1,0,2,1,0,0,7.5055555555555555
3,0,0.0,2,2,1,0,3,2,1,0,5.091388888888889
2,0,0.0,1,1,1,0,0,1,0,0,0.0125
5,0,0.0,3,3,2,0,4,3,2,0,8.40638888888889
8,0,0.0,4,4,2,0,7,4,3,1,8.02361111111111
