time,rule,severity,user,computer,detail
1045028,Excessive Lateral Movement,HIGH,U1025@DOM1,C612,Distinct destinations: 22
1045056,Excessive Lateral Movement,HIGH,U1025@DOM1,C585,Distinct destinations: 22
1051631,Excessive Lateral Movement,HIGH,U1025@DOM1,C625,Distinct destinations: 22
1057633,Excessive Lateral Movement,HIGH,U1025@DOM1,C612,Distinct destinations: 22
1060726,Excessive Lateral Movement,HIGH,U1025@DOM1,C625,Distinct destinations: 22
1064115,Excessive Lateral Movement,HIGH,U1025@DOM1,C457,Distinct destinations: 22
1069996,Excessive Lateral Movement,HIGH,U1025@DOM1,C625,Distinct destinations: 22
1076443,Excessive Lateral Movement,HIGH,U1025@DOM1,C2451,Distinct destinations: 22
1076490,Excessive Lateral Movement,HIGH,U1025@DOM1,C2451,Distinct destinations: 22
1076490,Excessive Lateral Movement,HIGH,U1025@DOM1,C2451,Distinct destinations: 22
1076530,Excessive Lateral Movement,HIGH,U1025@DOM1,C625,Distinct destinations: 22
1076573,Excessive Lateral Movement,HIGH,U1025@DOM1,C793,Distinct destinations: 22
1076619,Excessive Lateral Movement,HIGH,U1025@DOM1,C2451,Distinct destinations: 22
1076730,Excessive Lateral Movement,HIGH,U1025@DOM1,C3597,Distinct destinations: 22
1076803,Excessive Lateral Movement,HIGH,U1025@DOM1,C467,Distinct destinations: 22
1076827,Excessive Lateral Movement,HIGH,U1025@DOM1,C467,Distinct destinations: 22
1076903,Excessive Lateral Movement,HIGH,U1025@DOM1,C586,Distinct destinations: 22
1076911,Excessive Lateral Movement,HIGH,U1025@DOM1,C612,Distinct destinations: 22
1077659,Excessive Lateral Movement,HIGH,U1025@DOM1,C457,Distinct destinations: 22
1077674,Excessive Lateral Movement,HIGH,U1025@DOM1,C586,Distinct destinations: 22
1078362,Excessive Lateral Movement,HIGH,U1025@DOM1,C3597,Distinct destinations: 22
1078616,Excessive Lateral Movement,HIGH,U1025@DOM1,C3597,Distinct destinations: 22
1078859,Excessive Lateral Movement,HIGH,U1025@DOM1,C2008,Distinct destinations: 22
1078973,Excessive Lateral Movement,HIGH,U1025@DOM1,C612,Distinct destinations: 22
1079034,Excessive Lateral Movement,HIGH,U1025@DOM1,TGT,Distinct destinations: 22
1081408,Excessive Lateral Movement,HIGH,U1025@DOM1,C3597,Distinct destinations: 22
1081424,Excessive Lateral Movement,HIGH,U1025@DOM1,C3597,Distinct destinations: 22
1082720,Excessive Lateral Movement,HIGH,U1025@DOM1,C457,Distinct destinations: 22
1084012,Excessive Lateral Movement,HIGH,U1025@DOM1,C612,Distinct destinations: 22
1088340,Excessive Lateral Movement,HIGH,U1025@DOM1,C467,Distinct destinations: 22
1093141,Excessive Lateral Movement,HIGH,U1025@DOM1,C2451,Distinct destinations: 22
1093267,Excessive Lateral Movement,HIGH,U1025@DOM1,C2327,Distinct destinations: 22
1094189,Excessive Lateral Movement,HIGH,U1025@DOM1,C585,Distinct destinations: 22
1094784,Excessive Lateral Movement,HIGH,U1025@DOM1,C585,Distinct destinations: 22
1095418,Excessive Lateral Movement,HIGH,U1025@DOM1,C1065,Distinct destinations: 22
1095421,Excessive Lateral Movement,HIGH,U1025@DOM1,C528,Distinct destinations: 22
1095423,Excessive Lateral Movement,HIGH,U1025@DOM1,C528,Distinct destinations: 22
1095430,Excessive Lateral Movement,HIGH,U1025@DOM1,C1065,Distinct destinations: 22
1095433,Excessive Lateral Movement,HIGH,U1025@DOM1,C743,Distinct destinations: 22
1096590,Excessive Lateral Movement,HIGH,U1025@DOM1,C529,Distinct destinations: 22
1096602,Excessive Lateral Movement,HIGH,U1025@DOM1,C612,Distinct destinations: 22
1096692,Excessive Lateral Movement,HIGH,U1025@DOM1,C2106,Distinct destinations: 22
1097273,Excessive Lateral Movement,HIGH,U1025@DOM1,C457,Distinct destinations: 22
1100968,Excessive Lateral Movement,HIGH,U1025@DOM1,C585,Distinct destinations: 22
1107443,Excessive Lateral Movement,HIGH,U1025@DOM1,C457,Distinct destinations: 22
1108268,Excessive Lateral Movement,HIGH,U1025@DOM1,C457,Distinct destinations: 22
1109199,Excessive Lateral Movement,HIGH,U1025@DOM1,C1065,Distinct destinations: 22
1111966,Excessive Lateral Movement,HIGH,U1025@DOM1,C457,Distinct destinations: 22
1113344,Excessive Lateral Movement,HIGH,U1025@DOM1,C793,Distinct destinations: 22
1113417,Excessive Lateral Movement,HIGH,U1025@DOM1,C2008,Distinct destinations: 22
1113943,Excessive Lateral Movement,HIGH,U1025@DOM1,C2327,Distinct destinations: 22
1114901,Excessive Lateral Movement,HIGH,U1025@DOM1,C1065,Distinct destinations: 22
1114904,Excessive Lateral Movement,HIGH,U1025@DOM1,C1065,Distinct destinations: 22
1118953,Excessive Lateral Movement,HIGH,U1025@DOM1,C612,Distinct destinations: 22
1118999,Excessive Lateral Movement,HIGH,U1025@DOM1,C612,Distinct destinations: 22
1121628,Excessive Lateral Movement,HIGH,U1025@DOM1,C529,Distinct destinations: 22
1121777,Excessive Lateral Movement,HIGH,U1025@DOM1,C1065,Distinct destinations: 22
1125644,Excessive Lateral Movement,HIGH,U1025@DOM1,C457,Distinct destinations: 22
1127290,Excessive Lateral Movement,HIGH,U1025@DOM1,C625,Distinct destinations: 22
1127291,Excessive Lateral Movement,HIGH,U1025@DOM1,C625,Distinct destinations: 22
1127293,Excessive Lateral Movement,HIGH,U1025@DOM1,C625,Distinct destinations: 22
1131697,Excessive Lateral Movement,HIGH,U1025@DOM1,C2327,Distinct destinations: 22
1132777,Excessive Lateral Movement,HIGH,U1025@DOM1,C467,Distinct destinations: 22
1133536,Excessive Lateral Movement,HIGH,U1025@DOM1,C2327,Distinct destinations: 22
1139837,Excessive Lateral Movement,HIGH,U1025@DOM1,C1065,Distinct destinations: 22
1140399,Excessive Lateral Movement,HIGH,U1025@DOM1,C528,Distinct destinations: 22
1145360,Excessive Lateral Movement,HIGH,U1025@DOM1,C625,Distinct destinations: 22
1145386,Excessive Lateral Movement,HIGH,U1025@DOM1,C457,Distinct destinations: 22
1152565,Excessive Lateral Movement,HIGH,U1025@DOM1,C625,Distinct destinations: 22
1152566,Excessive Lateral Movement,HIGH,U1025@DOM1,C625,Distinct destinations: 22
1152714,Excessive Lateral Movement,HIGH,U1025@DOM1,C2451,Distinct destinations: 22
1152766,Excessive Lateral Movement,HIGH,U1025@DOM1,C2451,Distinct destinations: 22
1155729,Excessive Lateral Movement,HIGH,U1025@DOM1,C3597,Distinct destinations: 22
1156581,Excessive Lateral Movement,HIGH,U1025@DOM1,C625,Distinct destinations: 22
1156907,Excessive Lateral Movement,HIGH,U1025@DOM1,C625,Distinct destinations: 22
1157560,Excessive Lateral Movement,HIGH,U1025@DOM1,C1065,Distinct destinations: 22
1157656,Excessive Lateral Movement,HIGH,U1025@DOM1,C1065,Distinct destinations: 22
1157666,Excessive Lateral Movement,HIGH,U1025@DOM1,C1065,Distinct destinations: 22
1157786,Excessive Lateral Movement,HIGH,U1025@DOM1,C625,Distinct destinations: 22
1158273,Excessive Lateral Movement,HIGH,U1025@DOM1,C625,Distinct destinations: 22
1159245,Excessive Lateral Movement,HIGH,U1025@DOM1,C338,Distinct destinations: 22
1159248,Excessive Lateral Movement,HIGH,U1025@DOM1,C586,Distinct destinations: 22
1160169,Excessive Lateral Movement,HIGH,U1025@DOM1,C2008,Distinct destinations: 22
1166543,Excessive Lateral Movement,HIGH,U1025@DOM1,C625,Distinct destinations: 22
1166549,Excessive Lateral Movement,HIGH,U1025@DOM1,C625,Distinct destinations: 22
1170798,Excessive Lateral Movement,HIGH,U1025@DOM1,C793,Distinct destinations: 22
1171469,Excessive Lateral Movement,HIGH,U1025@DOM1,C612,Distinct destinations: 22
1171479,Excessive Lateral Movement,HIGH,U1025@DOM1,C585,Distinct destinations: 22
1171794,Excessive Lateral Movement,HIGH,U1025@DOM1,C1640,Distinct destinations: 22
1171797,Excessive Lateral Movement,HIGH,U1025@DOM1,C612,Distinct destinations: 22
1171844,Excessive Lateral Movement,HIGH,U1025@DOM1,C457,Distinct destinations: 22
1171844,Excessive Lateral Movement,HIGH,U1025@DOM1,C586,Distinct destinations: 22
1171962,Excessive Lateral Movement,HIGH,U1025@DOM1,C457,Distinct destinations: 22
1171964,Excessive Lateral Movement,HIGH,U1025@DOM1,C585,Distinct destinations: 22
1171964,Excessive Lateral Movement,HIGH,U1025@DOM1,C457,Distinct destinations: 22
1171980,Excessive Lateral Movement,HIGH,U1025@DOM1,C529,Distinct destinations: 22
1171980,Excessive Lateral Movement,HIGH,U1025@DOM1,C467,Distinct destinations: 22
1172036,Excessive Lateral Movement,HIGH,U1025@DOM1,C400,Distinct destinations: 22
1172042,Excessive Lateral Movement,HIGH,U1025@DOM1,C467,Distinct destinations: 22
1172060,Excessive Lateral Movement,HIGH,U1025@DOM1,C400,Distinct destinations: 22
1172063,Excessive Lateral Movement,HIGH,U1025@DOM1,C529,Distinct destinations: 22
1172073,Excessive Lateral Movement,HIGH,U1025@DOM1,C2327,Distinct destinations: 22
1172142,Excessive Lateral Movement,HIGH,U1025@DOM1,C1046,Distinct destinations: 22
1172143,Excessive Lateral Movement,HIGH,U1025@DOM1,C1046,Distinct destinations: 22
1172159,Excessive Lateral Movement,HIGH,U1025@DOM1,C529,Distinct destinations: 22
1172191,Excessive Lateral Movement,HIGH,U1025@DOM1,C529,Distinct destinations: 22
1177023,Excessive Lateral Movement,HIGH,U1025@DOM1,C1549,Distinct destinations: 22
1177072,Excessive Lateral Movement,HIGH,U1025@DOM1,C1046,Distinct destinations: 22
1177135,Excessive Lateral Movement,HIGH,U1025@DOM1,C529,Distinct destinations: 22
1177180,Excessive Lateral Movement,HIGH,U1025@DOM1,C612,Distinct destinations: 22
1177235,Excessive Lateral Movement,HIGH,U1025@DOM1,C625,Distinct destinations: 22
1178452,Excessive Lateral Movement,HIGH,U1025@DOM1,C586,Distinct destinations: 22
1178471,Excessive Lateral Movement,HIGH,U1025@DOM1,C625,Distinct destinations: 22
1178471,Excessive Lateral Movement,HIGH,U1025@DOM1,TGT,Distinct destinations: 22
1178763,Excessive Lateral Movement,HIGH,U1025@DOM1,C2451,Distinct destinations: 22
1178776,Excessive Lateral Movement,HIGH,U1025@DOM1,C612,Distinct destinations: 22
1178803,Excessive Lateral Movement,HIGH,U1025@DOM1,C2451,Distinct destinations: 22
1178829,Excessive Lateral Movement,HIGH,U1025@DOM1,C743,Distinct destinations: 22
1179024,Excessive Lateral Movement,HIGH,U1025@DOM1,C743,Distinct destinations: 22
1179208,Excessive Lateral Movement,HIGH,U1025@DOM1,C2327,Distinct destinations: 22
1180582,Excessive Lateral Movement,HIGH,U1025@DOM1,C793,Distinct destinations: 22
1180807,Excessive Lateral Movement,HIGH,U1025@DOM1,C467,Distinct destinations: 22
1181371,Excessive Lateral Movement,HIGH,U1025@DOM1,C1640,Distinct destinations: 22
1181391,Excessive Lateral Movement,HIGH,U1025@DOM1,C2008,Distinct destinations: 22
1181397,Excessive Lateral Movement,HIGH,U1025@DOM1,C2106,Distinct destinations: 22
1181924,Excessive Lateral Movement,HIGH,U1025@DOM1,C1640,Distinct destinations: 22
1182273,Excessive Lateral Movement,HIGH,U1025@DOM1,C1549,Distinct destinations: 22
1182714,Excessive Lateral Movement,HIGH,U1025@DOM1,C612,Distinct destinations: 22
1182975,Excessive Lateral Movement,HIGH,U1025@DOM1,C529,Distinct destinations: 22
1183060,Excessive Lateral Movement,HIGH,U1025@DOM1,C585,Distinct destinations: 22
1183179,Excessive Lateral Movement,HIGH,U1025@DOM1,C793,Distinct destinations: 22
1183402,Excessive Lateral Movement,HIGH,U1025@DOM1,C612,Distinct destinations: 22
1184253,Excessive Lateral Movement,HIGH,U1025@DOM1,C2327,Distinct destinations: 22
1185297,Excessive Lateral Movement,HIGH,U1025@DOM1,C586,Distinct destinations: 22
1185301,Excessive Lateral Movement,HIGH,U1025@DOM1,C528,Distinct destinations: 22
1185393,Excessive Lateral Movement,HIGH,U1025@DOM1,C528,Distinct destinations: 22
1185640,Excessive Lateral Movement,HIGH,U1025@DOM1,C793,Distinct destinations: 22
1185897,Excessive Lateral Movement,HIGH,U1025@DOM1,C528,Distinct destinations: 22
1190778,Excessive Lateral Movement,HIGH,U1025@DOM1,C625,Distinct destinations: 22
1190806,Excessive Lateral Movement,HIGH,U1025@DOM1,C1065,Distinct destinations: 22
1190807,Excessive Lateral Movement,HIGH,U1025@DOM1,C1065,Distinct destinations: 22
1196174,Excessive Lateral Movement,HIGH,U1025@DOM1,C528,Distinct destinations: 22
1209185,Excessive Lateral Movement,HIGH,U1025@DOM1,C529,Distinct destinations: 22
1217197,Excessive Lateral Movement,HIGH,U1025@DOM1,C457,Distinct destinations: 22
1220528,Excessive Lateral Movement,HIGH,U1025@DOM1,TGT,Distinct destinations: 22
1220529,Excessive Lateral Movement,HIGH,U1025@DOM1,C457,Distinct destinations: 22
1221809,Excessive Lateral Movement,HIGH,U1025@DOM1,C625,Distinct destinations: 22
1221814,Excessive Lateral Movement,HIGH,U1025@DOM1,C1640,Distinct destinations: 22
1221844,Excessive Lateral Movement,HIGH,U1025@DOM1,C2106,Distinct destinations: 22
1222100,Excessive Lateral Movement,HIGH,U1025@DOM1,C2327,Distinct destinations: 22
1226849,Excessive Lateral Movement,HIGH,U1025@DOM1,C625,Distinct destinations: 22
1228178,Excessive Lateral Movement,HIGH,U1025@DOM1,C625,Distinct destinations: 22
1228191,Excessive Lateral Movement,HIGH,U1025@DOM1,C625,Distinct destinations: 22
1228895,Excessive Lateral Movement,HIGH,U1025@DOM1,C2106,Distinct destinations: 22
1233851,Excessive Lateral Movement,HIGH,U1025@DOM1,C1065,Distinct destinations: 22
1234480,Excessive Lateral Movement,HIGH,U1025@DOM1,C625,Distinct destinations: 22
1239254,Excessive Lateral Movement,HIGH,U1025@DOM1,C1065,Distinct destinations: 22
1240104,Excessive Lateral Movement,HIGH,U1025@DOM1,C3597,Distinct destinations: 22
1240261,Excessive Lateral Movement,HIGH,U1025@DOM1,C625,Distinct destinations: 22
1242673,Excessive Lateral Movement,HIGH,U1025@DOM1,C2451,Distinct destinations: 22
1242832,Excessive Lateral Movement,HIGH,U1025@DOM1,C2327,Distinct destinations: 22
1246386,Excessive Lateral Movement,HIGH,U1025@DOM1,C2451,Distinct destinations: 22
1249762,Excessive Lateral Movement,HIGH,U1025@DOM1,C3597,Distinct destinations: 22
1249782,Excessive Lateral Movement,HIGH,U1025@DOM1,C3597,Distinct destinations: 22
1250138,Excessive Lateral Movement,HIGH,U1025@DOM1,C1065,Distinct destinations: 22
1254611,Excessive Lateral Movement,HIGH,U1025@DOM1,C3597,Distinct destinations: 22
1254740,Excessive Lateral Movement,HIGH,U1025@DOM1,C3597,Distinct destinations: 22
1254758,Excessive Lateral Movement,HIGH,U1025@DOM1,C585,Distinct destinations: 22
1254794,Excessive Lateral Movement,HIGH,U1025@DOM1,C585,Distinct destinations: 22
1254858,Excessive Lateral Movement,HIGH,U1025@DOM1,C585,Distinct destinations: 22
1255653,Excessive Lateral Movement,HIGH,U1025@DOM1,C3597,Distinct destinations: 22
